    0.112677311897277832E+01    0.384057998657226562E+00   -0.343503355979919434E+00   -0.316835045814514160E-01    0.387976169586181641E+01    0.953814248131266140E+00    0.564563288379531514E+00    0.780702976109069136E+00   -0.234774795209204967E+00    0.214081666795095771E+01   -0.150505276618955666E+02   -0.706239705605676136E+02   -0.555734428986720417E+02
   -0.103191690627869614E+01   -0.389038363370884710E+00   -0.117628765133393376E+00   -0.374235187247736523E+00   -0.560299403430273379E+01    0.383688826444767983E+00    0.925259109068292673E+00   -0.173372165252771970E+01   -0.180975475044647283E+01    0.101488708242072811E+01   -0.124710634938191713E+02   -0.659868468961897605E+02   -0.535157834023705945E+02
    0.133598971366882324E+01    0.540939688682556152E+00   -0.823341608047485352E-01   -0.321639060974121094E+00   -0.465376210212707520E+01   -0.144972693163936128E+00    0.714161079341693039E+00   -0.203502409800762507E+01   -0.904486891141687011E+00    0.130686825805582907E+01   -0.124339250319670267E+02   -0.644590417231948862E+02   -0.520251166912278649E+02
   -0.131807738542556763E+01    0.885555624961853027E+00   -0.386101484298706055E+00   -0.230088114738464355E+00   -0.145100212097167969E+01    0.816890178226685748E+00   -0.674597836817838470E+00   -0.442096905934476814E+00   -0.143813879105096021E+01   -0.103667079922047356E+01   -0.148020431677238449E+02   -0.663910264464457214E+02   -0.515889832787218694E+02
    0.132563352584838867E+01    0.720260739326477051E+00   -0.473289370536804199E+00   -0.446657896041870117E+00    0.154505825042724609E+01    0.157101848998308924E+00   -0.953548057117359349E+00   -0.112996666632511711E+01   -0.106545955002616211E+01    0.515132409872194552E+00   -0.121201512257425179E+02   -0.636304221161605525E+02   -0.515102708904180346E+02
    0.136057823896408081E+01    0.449821114540100098E+00    0.172643065452575684E-01   -0.555050611495971680E+00   -0.262958765029907227E+00    0.772425705494015347E+00    0.106466878103333329E+01   -0.160411634560318794E+01   -0.143366504813116080E+01    0.136447431474721292E+01   -0.126756836260480128E+02   -0.638362864268971180E+02   -0.511606028008491052E+02
    0.881887078285217285E+00    0.137518644332885742E+00   -0.779467821121215820E-01    0.210560560226440430E-01   -0.370518207550048828E+00    0.259382283583136086E+00   -0.110305915852109138E+01   -0.227505575669852078E+01    0.261376205102124004E+00    0.970854766025013527E+00   -0.140262123549389308E+02   -0.647678662373119636E+02   -0.507416538823730363E+02
   -0.137678539752960205E+01    0.482757210731506348E+00    0.559962451457977295E+00   -0.781599998474121094E+00   -0.148625421524047852E+01    0.673746717360472758E+00   -0.144041199575894452E-01   -0.117348881018756379E+01   -0.148187977694192341E+01    0.164366443100448145E+01   -0.117920742418414690E+02   -0.624477238790043998E+02   -0.506556496371629308E+02
    0.104571855068206787E+01   -0.221146166324615479E+00    0.815967321395874023E-01    0.310142040252685547E+00   -0.277511429786682129E+01   -0.710834977877539131E+00    0.166835422012013623E+01   -0.812992760637598399E+00   -0.780056551867573944E+00    0.117219443769613485E+01   -0.136739364977964453E+02   -0.639604011393754064E+02   -0.502864646415789593E+02
    0.130180299282073975E+01    0.312436759471893311E+00    0.695725679397583008E-01    0.132741808891296387E+00   -0.241080522537231445E+01   -0.935399742148774749E+00   -0.332904114846996835E+00   -0.142883229313042626E+01   -0.136517380772033903E+01    0.206954645093787803E+01   -0.122976900718191242E+02   -0.625636144555104963E+02   -0.502659243836913703E+02
