    0.113361819958436486E+00   -0.271069879520348563E-01    0.464263054224903562E-02    0.229660637140274043E+00    0.208364605903625481E-01    0.147372031211853022E+00   -0.233261990547180176E+01    0.918145966717247575E+00    0.524812643244558785E+00   -0.636055193907622884E+00   -0.166835536735902679E+01    0.229226756198272597E+01    0.987384212438768571E+01   -0.457640850789212621E+02   -0.556379272033089478E+02
    0.126463134772185570E+00   -0.403256248533702608E-01    0.228721617536545687E-02    0.149727141380310069E+00    0.200811779499053961E-01    0.443606638908386253E+00    0.362589883804321289E+01    0.908096507292839306E+00   -0.146415478833432589E+00   -0.345933796303370178E+00    0.118118050142697939E+01    0.630097459060152909E+00    0.708659617062065728E+01   -0.464900192006842161E+02   -0.535766153713048752E+02
    0.108758600021976862E+00   -0.238477158091507276E-01    0.942412245497434992E-03    0.160926289558410651E+00    0.244985533356666535E-01    0.603556418418884189E+00    0.126734733581542969E+01    0.734544041544040738E+00    0.366028167806007387E+00   -0.194742221003139071E+01   -0.337747302854381815E+01    0.286960073237992219E+01    0.413377115151340480E+01   -0.473436544115932989E+02   -0.514774255631067064E+02
    0.112692026367701773E+00   -0.299842422691193808E-01    0.809078406809408263E-02    0.124288898706436168E+00    0.238520565629005421E-01    0.587707567214965754E+00   -0.236391019821166992E+01   -0.476658146095587654E+00   -0.469948193051549779E-01   -0.719562467153309404E+00   -0.237833924691926768E+01    0.426028722289402362E+00    0.856130759541876962E+01   -0.425439072948631249E+02   -0.511052148902818928E+02
    0.121250168434196184E+00   -0.487831571668559394E-01    0.388347569197026012E-02    0.124813367843627926E+00    0.202618680000305161E-01    0.184420418739318859E+00   -0.397028517723083496E+01    0.144513069112576886E+01    0.797046841804558426E+00    0.915601157679475586E+00   -0.144357579196480401E+01    0.210704778808462834E+01    0.581252552862167260E+01   -0.445534792091164036E+02   -0.503660047377380735E+02
    0.119333491081887247E+00   -0.321809565018222263E-01   -0.109265433642393578E-03    0.825449953079223642E-01    0.190163767933845505E-01    0.580270051956176758E+00   -0.180540561676025391E+01   -0.442336118909452125E+00   -0.205635595298986118E+01   -0.153089415837371212E+01   -0.409903254750474844E+01    0.109894775489351582E+01    0.643189153391653079E+01   -0.438001365909093892E+02   -0.502320281248259164E+02
    0.119056317060531172E+00   -0.337664500710667601E-01    0.686516340999513211E-02    0.156616761445999148E+00    0.190557322502136230E-01    0.453657770156860374E+00   -0.356136989593505859E+01   -0.180728335529920514E+00   -0.661331545171606194E+00   -0.190206234647916950E+01   -0.123024965971694655E+01    0.240719765227026983E+01    0.108078887173659499E+02   -0.390791769538665505E+02   -0.498870656712324987E+02
    0.113026036842414926E+00   -0.385599945638654337E-01    0.411797337585976045E-02    0.180962681293487554E+00    0.249020614027976976E-01    0.560673761367797785E+00    0.112004613876342773E+01   -0.615953409466101220E+00    0.670567376943154159E+00   -0.245483768717917883E+01   -0.116997467824717205E+01    0.693517664273031409E+00    0.104131222448732679E+02   -0.390444575924700814E+02   -0.494575798373433528E+02
    0.121197801222658400E+00   -0.330470369761252589E-01    0.579788874798739876E-02    0.231212899446487430E+00    0.258379397988319388E-01    0.417040395736694380E+00   -0.115595555305480957E+01    0.200466311691002375E+01    0.123079782465879362E+01   -0.121085450011491935E+01   -0.122783713681087647E+01    0.104289356428012092E+01    0.935038469622699786E+01   -0.398996534886261145E+02   -0.492500381848531106E+02
    0.123962899941600882E+00   -0.258720209694269163E-01    0.240847259727675414E-02    0.209317732572555537E+00    0.229946658611297587E-01    0.405318570137023881E+00   -0.565928792953491211E+01   -0.800914287034402150E+00    0.943089342468965697E+00   -0.182887167406875029E+01   -0.978509337506920929E+00    0.219305354849325340E+01    0.944390643191793799E+01   -0.396876145044039390E+02   -0.491315209363218770E+02
    0.123188132868937886E+00   -0.330202471348465740E-01    0.775985921492053712E-02    0.130086402654647826E+00    0.210563375353813170E-01    0.925520277023315407E+00    0.126736164093017578E-01    0.129157920961119999E+01   -0.721469878986908952E+00   -0.106630065358444859E+01   -0.114383855619621499E+01    0.719145051040186667E+00    0.960902299912645219E+01   -0.392754915982463402E+02   -0.488845145973727924E+02
