    0.214195333242416380E+00    0.212388730049133286E-01    0.779799566268920885E+00    0.881305621862411459E+00    0.498322844505310059E+00    0.237920737266540527E+01    0.769147269725799543E+01   -0.922855162615405789E+00    0.574983920140539340E+00    0.414528555678544075E+00   -0.187296919888126467E+01   -0.110342483825433879E+00    0.398655712604522705E+00    0.369130432605743408E+00    0.296353101730346680E-01    0.334332750893945541E+00   -0.527512567918400848E+02   -0.530855895427340272E+02
    0.133108182907104494E+00    0.199538264870643620E-01    0.719725154638290343E+00    0.108641816973686223E+01    0.553483796119689897E+00    0.283314013481140137E+01    0.795952308177947998E+01    0.525464505666377590E+00    0.901383207384469642E+00   -0.257952268869985124E+00   -0.248429502883823261E+01    0.191252318666897758E+01    0.559235811233520508E+00    0.960076749324798584E+00    0.451080620288848877E+00    0.137827301642296596E+01   -0.516292941099498108E+02   -0.530075671263727770E+02
    0.127478745460510245E+00    0.233914151787757846E-01    0.740615067481994571E+00    0.865606702566146802E+00    0.476637578010559060E+00    0.254326057434082031E+01    0.798114771842956561E+01    0.218767343587728647E+01   -0.799881498562626247E-01    0.365089131054219473E+00   -0.183702012045046104E+01    0.222120793173075981E+01    0.405052900314331055E-01    0.529946386814117432E+00    0.912099063396453857E+00   -0.772837067808134215E+00   -0.537608233710900691E+02   -0.529879863032819358E+02
    0.248787777185440068E+00    0.231927340626716591E-01    0.805234299898147543E+00    0.103599227070808420E+01    0.688182973861694247E+00    0.267775011062622070E+01    0.780974512100219709E+01   -0.329240352251645163E+00   -0.105737660136242084E+01   -0.179397673996504614E+01   -0.138486155530358701E+01    0.292570319883225460E+00    0.412466228008270264E+00    0.211202800273895264E+00    0.490571856498718262E+00    0.212303302591302723E+01   -0.499985061640783854E+02   -0.521215391899914096E+02
    0.195460623979568482E+00    0.201787252426147458E-01    0.766815453767776489E+00    0.941932650804519711E+00    0.675344562530517556E+00   -0.516157436370849609E+01    0.779923446178436297E+01    0.109079326491041684E+01   -0.100043098257173724E-01   -0.209230611981524817E+01   -0.152913052312783293E+01    0.425001918735006479E+00    0.412813842296600342E+00    0.932689249515533447E+00    0.524531006813049316E+00    0.181423255040823062E+01   -0.501330980241247133E+02   -0.519473305745329412E+02
    0.251323049783706676E+00    0.208165702819824230E-01    0.682083687782287562E+00    0.107446442961692812E+01    0.536026334762573220E+00    0.103236007690429688E+01    0.786374895572662336E+01    0.423634007808004753E+00    0.311180797543670451E+01   -0.143378846674863758E+01   -0.293556072263413625E+01    0.211990935266726410E+01    0.803232789039611816E-01    0.754708647727966309E+00    0.235718905925750732E+00   -0.384751939391648712E+01   -0.552686177852249969E+02   -0.514210983913085116E+02
    0.151318617582321180E+00    0.202245010733604416E-01    0.811515539884567261E+00    0.105447842478752141E+01    0.523735380172729470E+00    0.590568065643310547E+00    0.766275010108947718E+01   -0.102906258061125300E+01    0.376260581998622057E+00   -0.189799286332004136E+01   -0.350085961342188057E+01    0.117052184018461980E+01    0.941064774990081787E+00    0.539289295673370361E+00    0.339741468429565430E+00    0.510174613039852121E-01   -0.512913837020609478E+02   -0.513424011633649329E+02
    0.127130404472351077E+00    0.257479160428047173E-01    0.648707190752029428E+00    0.901073875427246040E+00    0.722478985786437988E+00    0.183042311668395996E+01    0.795703473091125524E+01   -0.374755544431764065E+00   -0.135693468962585939E+01    0.127284108178855826E+00    0.687369737805738623E+00    0.166499266915820976E+01    0.464559793472290039E-01    0.809283137321472168E+00    0.123144268989562988E+00   -0.507173138285367586E+00   -0.517286016138922236E+02   -0.512214284756068565E+02
    0.211588381290435779E+00    0.258692234754562371E-01    0.728393324613571203E+00    0.108721065044403087E+01    0.921726274490356379E+00    0.251902770996093750E+01    0.769973726272582937E+01    0.130602363722687187E+01    0.892229977961278564E+00   -0.117440485494967084E+01   -0.236879818131797037E+01    0.206045387224889964E+01    0.705761015415191650E+00    0.374995410442352295E+00    0.784122884273529053E+00    0.104667479384667894E+01   -0.501494509636650179E+02   -0.511961257575116946E+02
    0.148394270181655880E+00    0.195513306260108946E-01    0.721705644130706814E+00    0.101576412200927746E+01    0.361107754707336470E+00   -0.349965476989746094E+01    0.779936101436614937E+01    0.871649966430823042E+00   -0.267070380051904976E+01   -0.103669675583773802E+01   -0.224589943276214399E+00    0.253725691981685486E+01    0.164012193679809570E+00    0.478491604328155518E+00    0.523722946643829346E+00   -0.170811087718306975E+01   -0.526236416492140506E+02   -0.509155307720309835E+02
