   -0.117658227682113647E+01    0.517231285572052002E+00   -0.766856193542480469E+00   -0.289037175789616496E+01   -0.578569627670268574E+02   -0.549665910091306955E+02
    0.146029633283615112E+01    0.147154569625854492E+00    0.474293231964111328E-01   -0.289037175789616496E+01   -0.573013415072942252E+02   -0.544109697493980633E+02
   -0.137938338518142700E+01    0.267717182636260986E+00   -0.177131056785583496E+00   -0.289037175789616496E+01   -0.568444086697131112E+02   -0.539540369118169494E+02
   -0.133233332633972168E+01   -0.247558951377868652E-01    0.260710000991821289E+00   -0.289037175789616496E+01   -0.567459628707133490E+02   -0.538555911128171871E+02
   -0.103592723608016968E+01    0.638582110404968262E-01   -0.717585086822509766E-01   -0.289037175789616496E+01   -0.566808083220944496E+02   -0.537904365641982878E+02
    0.142464566230773926E+01    0.439984560012817383E+00   -0.539064168930053711E+00   -0.289037175789616496E+01   -0.566637824405436916E+02   -0.537734106826475298E+02
    0.124010396003723145E+01    0.440143704414367676E+00   -0.247044682502746582E+00   -0.289037175789616496E+01   -0.565803359222782021E+02   -0.536899641643820402E+02
    0.144006907939910889E+01   -0.734062135219573975E+00    0.370372056961059570E+00   -0.289037175789616496E+01   -0.563831543039981682E+02   -0.534927825461020063E+02
    0.937936842441558838E+00    0.319611132144927979E+00   -0.185369729995727539E+00   -0.289037175789616496E+01   -0.555418932209717795E+02   -0.526515214630756176E+02
    0.110512787103652954E+01   -0.406861424446105957E+00    0.178844332695007324E+00   -0.289037175789616496E+01   -0.554871141107758419E+02   -0.525967423528796800E+02
   -0.138457979953317611E+01   -0.279439244688472588E+00    0.107057083191576030E+00   -0.289037175789616496E+01   -0.554539134332016701E+02   -0.525635416753055082E+02
    0.106132596731185913E+01   -0.598012089729309082E+00    0.284348726272583008E+00   -0.289037175789616496E+01   -0.554040864699542297E+02   -0.525137147120580678E+02
    0.129656685435755925E+01    0.546538576379000496E+00   -0.135338682945982725E+00   -0.289037175789616496E+01   -0.547378692638787214E+02   -0.518474975059825596E+02
   -0.112770706415176392E+01   -0.399974226951599121E+00    0.191865921020507812E+00   -0.289037175789616496E+01   -0.546709383443893771E+02   -0.517805665864932152E+02
   -0.112057629408593495E+01   -0.380113969815027541E+00    0.972022446908211712E-01   -0.289037175789616496E+01   -0.546688288100441326E+02   -0.517784570521479708E+02
    0.735850989818572998E+00    0.492730736732482910E-01   -0.430895090103149414E-01   -0.289037175789616496E+01   -0.545854543473603044E+02   -0.516950825894641426E+02
   -0.139063012907263950E+01   -0.432474739368566619E+00    0.298009588941748227E+00   -0.289037175789616496E+01   -0.545800883313509857E+02   -0.516897165734548238E+02
    0.125150084495544434E+01    0.666205286979675293E-01   -0.673065185546875000E-01   -0.289037175789616496E+01   -0.545516951883980639E+02   -0.516613234305019020E+02
    0.115018944791007627E+01    0.487994661569834287E+00   -0.842611986070923580E-01   -0.289037175789616496E+01   -0.544986180247405656E+02   -0.516082462668444037E+02
   -0.140208710871533926E+01   -0.353380460563386345E+00    0.146253786152314103E+00   -0.289037175789616496E+01   -0.544345147358157249E+02   -0.515441429779195630E+02
   -0.995525128838472440E+00   -0.392720896899652727E+00    0.792980247440322472E-01   -0.289037175789616496E+01   -0.544105278961413603E+02   -0.515201561382451985E+02
   -0.138606240963824967E+01    0.144981552604845909E+00   -0.156076020194959586E-01   -0.289037175789616496E+01   -0.543812926652304682E+02   -0.514909209073343064E+02
   -0.789597451686859131E+00   -0.117072165012359619E+00    0.247349619865417480E+00   -0.289037175789616496E+01   -0.543683370079182424E+02   -0.514779652500220806E+02
    0.930997431278228760E+00    0.341285705566406250E+00   -0.141162872314453125E+00   -0.289037175789616496E+01   -0.543446602475707579E+02   -0.514542884896745960E+02
    0.126257874068152454E+01   -0.274904624775413664E+00    0.769974458413189566E-01   -0.289037175789616496E+01   -0.543095913720104377E+02   -0.514192196141142759E+02
   -0.134323626476814439E+01   -0.455837865902865014E+00    0.239567269784054515E+00   -0.289037175789616496E+01   -0.542369085399998383E+02   -0.513465367821036764E+02
    0.127301037311553955E+01    0.119066655635833740E+00   -0.274735212326049805E+00   -0.289037175789616496E+01   -0.542299894063452257E+02   -0.513396176484490638E+02
    0.912246465682983398E+00   -0.436345338821411133E-01   -0.170102119445800781E-01   -0.289037175789616496E+01   -0.542122216670165855E+02   -0.513218499091204237E+02
    0.106821280717849731E+01    0.259869039058685303E+00   -0.117638587951660156E+00   -0.289037175789616496E+01   -0.541632348090633542E+02   -0.512728630511671923E+02
   -0.133769121282201198E+01   -0.153100232732143127E+00    0.298829919383041709E+00   -0.289037175789616496E+01   -0.541551118457813203E+02   -0.512647400878851585E+02
    0.149398756027221680E+01    0.537567794322967529E+00   -0.227348089218139648E+00   -0.289037175789616496E+01   -0.540532800719392412E+02   -0.511629083140430794E+02
   -0.139177393913269043E+01    0.652003884315490723E-01    0.345025062561035156E-01   -0.289037175789616496E+01   -0.539944209604774983E+02   -0.511040492025813364E+02
   -0.137310773134231567E+01    0.156062543392181396E+00   -0.634229183197021484E-02   -0.289037175789616496E+01   -0.539605447681222472E+02   -0.510701730102260854E+02
    0.145329701900482178E+01   -0.704114735126495361E+00    0.286644697189331055E+00   -0.289037175789616496E+01   -0.538778175034368374E+02   -0.509874457455406755E+02
    0.106231015920639038E+01    0.319181978702545166E+00   -0.117570638656616211E+00   -0.289037175789616496E+01   -0.538569734300433183E+02   -0.509666016721471564E+02
    0.820702473903097474E+00    0.288649589316220867E+00   -0.128215290586098152E+00   -0.289037175789616496E+01   -0.538523234057205968E+02   -0.509619516478244350E+02
   -0.915490150451660156E+00   -0.744491815567016602E-02    0.490002632141113281E-01   -0.289037175789616496E+01   -0.538356743298882208E+02   -0.509453025719920589E+02
