    0.120592010021209717E+01   -0.119478106498718262E+00   -0.443814754486083984E+00   -0.289037175789616496E+01   -0.337365160098542867E+06   -0.337362269726784958E+06   -0.460515351937698814E+01    1
    0.136728626489639282E+01   -0.119869852066040039E+01    0.536724925041198730E+00   -0.289037175789616496E+01   -0.424240271195727473E+05   -0.424211367478148532E+05   -0.461515351937698259E+01    1
    0.124369883537292480E+01   -0.648747503757476807E+00    0.818569660186767578E-01   -0.289037175789616496E+01   -0.203850753185348512E+05   -0.203821849467769534E+05   -0.462515351937698149E+01    1
   -0.899984121322631836E+00    0.232839703559875488E+00    0.159906744956970215E+00   -0.289037175789616496E+01   -0.141996908427116232E+05   -0.141968004709537272E+05   -0.463515351937698661E+01    1
   -0.144533729553222656E+01    0.105692714452743530E+01   -0.393020868301391602E+00   -0.289037175789616496E+01   -0.889491818982281802E+04   -0.889202781806492203E+04   -0.464515351937698728E+01    1
   -0.484386742115020752E+00    0.905826687812805176E-01    0.112365603446960449E+00   -0.289037175789616496E+01   -0.813204693554629648E+04   -0.812915656378840049E+04   -0.465515351937698174E+01    1
   -0.130691725015640259E+01    0.118342512845993042E+01   -0.622231364250183105E+00   -0.289037175789616496E+01   -0.789552417092737960E+04   -0.789263379916948361E+04   -0.466515351937698153E+01    1
   -0.140587234497070312E+01    0.311719357967376709E+00    0.239050507545471191E+00   -0.289037175789616496E+01   -0.147719818715067186E+04   -0.147430781539277564E+04   -0.467515351937698398E+01    1
   -0.105759555101394653E+01    0.470007061958312988E+00   -0.379693508148193359E-01   -0.289037175789616496E+01   -0.887310956070176530E+03   -0.884420584312280312E+03   -0.468515351937698377E+01    1
    0.109138941764831543E+01    0.141337573528289795E+00   -0.558251619338989258E+00   -0.289037175789616496E+01   -0.454080694611920080E+03   -0.451190322854023918E+03   -0.469515351937698444E+01    1
    0.807098865509033203E+00   -0.383183240890502930E+00    0.775576829910278320E-01   -0.289037175789616496E+01   -0.150150432731559789E+03   -0.147260060973663627E+03   -0.470515351937698423E+01    1
    0.137117439508438110E+01    0.154276728630065918E+00   -0.639156103134155273E+00   -0.289037175789616496E+01   -0.144490043586584619E+03   -0.141599671828688457E+03   -0.471515351937698135E+01    1
    0.135719436407089233E+01    0.166269958019256592E+00   -0.623601078987121582E+00   -0.289037175789616496E+01   -0.897608329522316097E+02   -0.868704611943354479E+02   -0.472515351937698025E+01    1
   -0.405177712440490723E+00    0.993454456329345703E-02    0.791435241699218750E-01   -0.289037175789616496E+01   -0.659446400175734482E+02   -0.630542682596772863E+02   -0.473515351937698448E+01    1
    0.131452864408493042E+01   -0.691906034946441650E+00    0.223849654197692871E+00   -0.289037175789616496E+01   -0.645464886567423406E+02   -0.616561168988461787E+02   -0.474515351937698782E+01    1
