    0.942380666732788086E+01    0.483818411827087402E+01    0.825237035751342773E+01    0.318828535079956055E+01    0.377193163454876412E+00   -0.104264582644987058E+01   -0.338998108934106313E+01   -0.752744629775179419E+00    0.266511104820210898E+00   -0.198127416641104226E+02   -0.182140888585754205E+06   -0.182121075844090083E+06   -0.460515351937698814E+01    1
    0.566006183624267578E+01    0.508601665496826172E+01   -0.177347660064697266E-01   -0.486925148963928223E+01   -0.493448647413288199E+00    0.986861587047087596E+00   -0.181176076536871711E+01    0.744927474219139185E+00    0.215811486806046560E+01   -0.198048967508530147E+02   -0.102287223600374753E+06   -0.102267418703623902E+06   -0.461515351937698259E+01    1
    0.606252908706665039E+01    0.403988122940063477E+01    0.298521399497985840E+01    0.410963273048400879E+01   -0.150713802879067771E+01    0.191057352115308277E+01   -0.247159483683503822E+01   -0.181956159231617676E+01    0.261137690738337369E+01   -0.213130289838046423E+02   -0.456750336302359356E+05   -0.456537206012521274E+05   -0.462515351937698149E+01    1
    0.276207089424133301E+01    0.904564857482910156E+00   -0.184736251831054688E+00    0.301827192306518555E+01    0.103220772714053055E+01   -0.115384944852280569E+01   -0.100237013251330587E+01   -0.172630947868242401E+01    0.290703422432102343E+01   -0.184812523538168740E+02   -0.362939554100929090E+05   -0.362754741577390887E+05   -0.463515351937698661E+01    1
    0.930526494979858398E+01    0.929706692695617676E+01    0.341084837913513184E+01    0.344998669624328613E+01   -0.479903165859241199E+00   -0.101454217460400287E+01   -0.260780736861079054E+00   -0.261229326517991467E+01   -0.466315427994459020E+00   -0.191292591401439722E+02   -0.179947272048569175E+05   -0.179755979457167741E+05   -0.464515351937698728E+01    1
    0.859491348266601562E+01    0.810030460357666016E+01    0.193319797515869141E+01    0.476284432411193848E+01   -0.425328111213048032E+00   -0.381002515431418887E+00   -0.130698928700212269E+00   -0.243958324373352298E+00    0.136315832913282997E+01   -0.173237284532579245E+02   -0.112966765455088571E+05   -0.112793528170555983E+05   -0.465515351937698174E+01    1
    0.769743323326110840E+01    0.205603718757629395E+01    0.661511540412902832E+01   -0.297018527984619141E+01   -0.641912177148924457E+00    0.748788546844707525E+00   -0.200732856208901467E+01   -0.110738359697393207E+01    0.574541822630863175E+00   -0.173871007683172003E+02   -0.896945845222950993E+04   -0.895207135146119253E+04   -0.466515351937698153E+01    1
    0.741692543029785156E+01    0.805163741111755371E+01    0.137321233749389648E+01    0.125009036064147949E+01    0.125553933968376441E+00    0.822639204612869435E+00   -0.337318859544664118E-01   -0.212269561377866012E+01   -0.412188302303775123E+00   -0.188284496588358827E+02   -0.746749713698111464E+04   -0.744866868732227886E+04   -0.467515351937698398E+01    1
    0.730978369712829590E+01    0.357802867889404297E+01    0.473845720291137695E+01   -0.406456232070922852E+01    0.219739513875083503E-01   -0.967280827243257590E+00   -0.277986704086401915E+01   -0.185881923956685569E+00    0.146580304101348724E+01   -0.185212270121906322E+02   -0.468849678827624120E+04   -0.466997556126405016E+04   -0.468515351937698377E+01    1
    0.445223331451416016E+01    0.327177047729492188E+00    0.197349786758422852E+01   -0.517603754997253418E+01    0.238107774130753569E+01   -0.413309109839019528E+00   -0.215275828377230027E+01   -0.170457904063255228E+01    0.137296881195993614E+01   -0.195256646655437933E+02   -0.327436650567230572E+04   -0.325484084100676182E+04   -0.469515351937698444E+01    1
    0.365236759185791016E+01    0.238955020904541016E+01    0.351212024688720703E+00    0.791268110275268555E+00   -0.137807469548647532E+01   -0.166976005818582962E+01   -0.246884042029819284E+01   -0.217895608533353879E+00    0.168466020354230772E+01   -0.198283112065827218E+02   -0.255605301862419810E+04   -0.253622470741761526E+04   -0.470515351937698423E+01    1
    0.703793406486511230E+01    0.659467339515686035E+01    0.559730529785156250E+00    0.261791324615478516E+01    0.246218008041182657E+01   -0.513477760531486638E+00    0.187444059686754394E+01   -0.110960227542932444E+01    0.185475840694039129E+01   -0.238210070194476664E+02   -0.237916242808771949E+04   -0.235534142106827176E+04   -0.471515351937698135E+01    1
