    0.359555423259735107E+01    0.675721168518066406E+00   -0.181142330169677734E+01   -0.318294167518615723E+00    0.766007456779479945E+01   -0.829404964010202939E+01   -0.150389462927241751E+06   -0.150381168877601653E+06   -0.460515351937698814E+01    1
    0.409524202346801758E+01    0.203209221363067627E+01   -0.614039301872253418E+00   -0.187485098838806152E+01    0.774513540267944300E+01   -0.829404964010202939E+01   -0.537936056715571540E+05   -0.537853116219170552E+05   -0.461515351937698259E+01    1
    0.419091105461120605E+01    0.211289823055267334E+01   -0.149843454360961914E+01   -0.134526073932647705E+01    0.792285387516021711E+01   -0.829404964010202939E+01   -0.344601321966101968E+05   -0.344518381469700980E+05   -0.462515351937698149E+01    1
    0.400308847427368164E+01   -0.117362141609191895E+00   -0.201121449470520020E+01    0.273745059967041016E+00    0.795656878948211688E+01   -0.829404964010202939E+01   -0.280667144728747044E+05   -0.280584204232346019E+05   -0.463515351937698661E+01    1
    0.430073261260986328E+01   -0.330351114273071289E+01    0.200656473636627197E+01   -0.974207520484924316E+00    0.796740777492523211E+01   -0.829404964010202939E+01   -0.277548260066925868E+05   -0.277465319570524844E+05   -0.464515351937698728E+01    1
    0.485343575477600098E+01   -0.143062472343444824E+00   -0.190916478633880615E+01    0.109744071960449219E+00    0.777064538002014160E+01   -0.829404964010202939E+01   -0.687065031065341009E+04   -0.686235626101330763E+04   -0.465515351937698174E+01    1
   -0.453279256820678711E+01    0.505489110946655273E-01   -0.132543146610260010E+01    0.227296233177185059E+01    0.761570956707000679E+01   -0.829404964010202939E+01   -0.494367247097684867E+04   -0.493537842133674621E+04   -0.466515351937698153E+01    1
    0.448290884494781494E+01   -0.239517033100128174E+01    0.185796856880187988E+01   -0.142657518386840820E+01    0.775523505210876429E+01   -0.829404964010202939E+01   -0.378251694825236564E+04   -0.377422289861226363E+04   -0.467515351937698398E+01    1
   -0.361716866493225098E+01    0.639235377311706543E+00    0.109904348850250244E+01   -0.211117863655090332E+00    0.767139999866485578E+01   -0.829404964010202939E+01   -0.225625355999396197E+04   -0.224795951035385997E+04   -0.468515351937698377E+01    1
    0.490663051605224609E+01   -0.739476680755615234E+00   -0.108165800571441650E+01    0.823134183883666992E-01    0.793265268802642787E+01   -0.829404964010202939E+01   -0.176314626066428957E+03   -0.168020576426326926E+03   -0.469515351937698444E+01    1
    0.427543640136718750E+01   -0.842654109001159668E+00    0.208690166473388672E+00   -0.762919187545776367E+00    0.790234646797180140E+01   -0.829404964010202939E+01   -0.161243178645874025E+03   -0.152949129005771994E+03   -0.470515351937698423E+01    1
   -0.481621801853179932E+01    0.243224918842315674E+01   -0.280988216400146484E+00    0.734925270080566406E-01    0.771510071754455584E+01   -0.829404964010202939E+01   -0.122380245318248654E+03   -0.114086195678146623E+03   -0.471515351937698135E+01    1
   -0.470286071300506592E+01    0.233348309993743896E+01   -0.876611471176147461E+00   -0.167973875999450684E+01    0.777060699462890625E+01   -0.829404964010202939E+01   -0.897934754207090293E+02   -0.814994257806069982E+02   -0.472515351937698025E+01    1
   -0.233062922954559326E+01    0.182138144969940186E+01   -0.107865869998931885E+01   -0.176578760147094727E+00    0.787206223011016881E+01   -0.829404964010202939E+01   -0.734878309856094916E+02   -0.651937813455074604E+02   -0.473515351937698448E+01    1
    0.429145872592926025E+01    0.192518830299377441E+00    0.127702116966247559E+01    0.229318201541900635E+01    0.762693648338317853E+01   -0.829404964010202939E+01   -0.729044731293205786E+02   -0.646104234892185474E+02   -0.474515351937698782E+01    1
    0.469505488872528076E+01   -0.386251866817474365E+01    0.925188064575195312E+00    0.753468275070190430E+00    0.767639522552490217E+01   -0.829404964010202939E+01   -0.658129199101575892E+02   -0.575188702700555581E+02   -0.475515351937698494E+01    1
    0.356481015682220459E+01    0.125475406646728516E+01   -0.235652327537536621E+00    0.926229357719421387E+00    0.768184714317321760E+01   -0.829404964010202939E+01   -0.648617333125789912E+02   -0.565676836724769601E+02   -0.476515351937698117E+01    1
   -0.364304959774017334E+01   -0.108292043209075928E+01    0.453126430511474609E+00   -0.984037518501281738E+00    0.767765178680419869E+01   -0.829404964010202939E+01   -0.648537220822149010E+02   -0.565596724421128698E+02   -0.477515351937698451E+01    1
   -0.490318357944488525E+01    0.438836812973022461E+00    0.678576827049255371E+00   -0.280210971832275391E+01    0.779454672336578369E+01   -0.829404964010202939E+01   -0.648528420030321797E+02   -0.565587923629301486E+02   -0.478515351937698341E+01    1
   -0.451760053634643555E+01    0.424275457859039307E+01   -0.224495530128479004E+01    0.375431776046752930E+00    0.771909933090209943E+01   -0.829404964010202939E+01   -0.648477113661867293E+02   -0.565536617260846981E+02   -0.479515351937697876E+01    1
   -0.336843848228454590E+01   -0.177695035934448242E+01   -0.127422809600830078E-01   -0.546756982803344727E+00    0.785331778526306135E+01   -0.829404964010202939E+01   -0.648447043884342094E+02   -0.565506547483321782E+02   -0.480515351937698032E+01    1
    0.463445365428924561E+01   -0.146277010440826416E+01   -0.105443358421325684E+01    0.237129569053649902E+01    0.762537670135498047E+01   -0.829404964010202939E+01   -0.648362197350533620E+02   -0.565421700949513379E+02   -0.481515351937698277E+01    1
    0.272467136383056641E+01    0.197556436061859131E+01    0.481733679771423340E+00   -0.651240348815917969E-02    0.775350086688995344E+01   -0.829404964010202939E+01   -0.648118958689006632E+02   -0.565178462287986321E+02   -0.482515351937698345E+01    1
    0.211938560009002686E+01   -0.359661579132080078E+00   -0.315360426902770996E+00    0.894313454627990723E+00    0.787837219238281250E+01   -0.829404964010202939E+01   -0.648076691185377172E+02   -0.565136194784356931E+02   -0.483515351937698323E+01    1
    0.371906220912933350E+01    0.201169848442077637E+01    0.715341567993164062E+00    0.131529927253723145E+01    0.789178724288940447E+01   -0.829404964010202939E+01   -0.648036133585495975E+02   -0.565095637184475734E+02   -0.484515351937698480E+01    1
    0.477655768394470215E+01    0.536867380142211914E+00    0.504473447799682617E+00    0.981423258781433105E+00    0.782003159523010272E+01   -0.829404964010202939E+01   -0.648007517841293179E+02   -0.565067021440272939E+02   -0.485515351937698814E+01    1
   -0.499256908893585205E+01   -0.206097483634948730E+01   -0.157970309257507324E+01   -0.119048357009887695E-01    0.794392669200897217E+01   -0.829404964010202939E+01   -0.647923065159538112E+02   -0.564982568758517800E+02   -0.486515351937698437E+01    1
   -0.468724250793457031E+01   -0.383817493915557861E+01   -0.140961468219757080E+01   -0.211107134819030762E+00    0.781844468116760272E+01   -0.829404964010202939E+01   -0.647917268923327754E+02   -0.564976772522307513E+02   -0.487515351937698149E+01    1
    0.269963622093200684E+01   -0.672173500061035156E+00    0.206409692764282227E+00    0.931147336959838867E+00    0.794976823329925519E+01   -0.829404964010202939E+01   -0.647904927791145298E+02   -0.564964431390124986E+02   -0.488515351937698572E+01    1
   -0.439790964126586914E+01   -0.420585870742797852E+00   -0.299733102321624756E+01   -0.622668266296386719E+00    0.790904607772827184E+01   -0.829404964010202939E+01   -0.647886111182367443E+02   -0.564945614781347132E+02   -0.489515351937698817E+01    1
    0.465643465518951416E+01    0.238113462924957275E+01    0.595847964286804199E+00   -0.104089975357055664E+00    0.780076529979705757E+01   -0.829404964010202939E+01   -0.647882442708491340E+02   -0.564941946307471028E+02   -0.490515351937698973E+01    1
   -0.460293889045715332E+01   -0.313081145286560059E+00   -0.350803136825561523E+00   -0.100346386432647705E+01    0.797072389125824010E+01   -0.829404964010202939E+01   -0.647873463211477798E+02   -0.564932966810457557E+02   -0.491515351937698775E+01    1
    0.417797863483428955E+01   -0.114242434501647949E+00    0.445949435234069824E+00    0.607059597969055176E+00    0.768352510929107613E+01   -0.829404964010202939E+01   -0.647759738608111775E+02   -0.564819242207091463E+02   -0.492515351937698220E+01    1
   -0.288613557815551758E+01   -0.203866183757781982E+01   -0.547509193420410156E+00    0.375961661338806152E+00    0.761619346141815168E+01   -0.829404964010202939E+01   -0.647735999982586321E+02   -0.564795503581566081E+02   -0.493515351937698199E+01    1
    0.418454825878143311E+01    0.316003561019897461E+01    0.155007898807525635E+01   -0.350683927536010742E-01    0.790345008373260516E+01   -0.829404964010202939E+01   -0.647660404749363039E+02   -0.564719908348342727E+02   -0.494515351937698799E+01    1
    0.474152207374572754E+01    0.137362778186798096E+01    0.177779495716094971E+01    0.437731742858886719E+00    0.779589693546295148E+01   -0.829404964010202939E+01   -0.647660277742888155E+02   -0.564719781341867844E+02   -0.495515351937699045E+01    1
    0.393757522106170654E+01   -0.470900535583496094E+00    0.112891018390655518E+01    0.700085163116455078E+00    0.794096498489379865E+01   -0.829404964010202939E+01   -0.647620908441393510E+02   -0.564680412040373199E+02   -0.496515351937698846E+01    1
   -0.353542387485504150E+01   -0.267933070659637451E+01   -0.428522825241088867E+00    0.510215759277343750E+00    0.775858926773071289E+01   -0.829404964010202939E+01   -0.647581644987343168E+02   -0.564641148586322927E+02   -0.497515351937698824E+01    1
    0.437187671661376953E+01   -0.194803297519683838E+01   -0.248060822486877441E+00    0.183059036731719971E+01    0.782996110916137678E+01   -0.829404964010202939E+01   -0.647581599500809801E+02   -0.564641103099789490E+02   -0.498515351937698359E+01    1
   -0.423079133033752441E+01    0.148749053478240967E+01    0.780878067016601562E+00   -0.212303161621093750E+01    0.796844789981842005E+01   -0.829404964010202939E+01   -0.647532151232583288E+02   -0.564591654831563048E+02   -0.499515351937698426E+01    1
   -0.301827907562255859E+01    0.114305615425109863E+00   -0.519142150878906250E+00   -0.256283283233642578E+00    0.771783177852630597E+01   -0.829404964010202939E+01   -0.647532115834500956E+02   -0.564591619433480645E+02   -0.500515351937698583E+01    1
    0.432525098323822021E+01    0.123242557048797607E+01    0.272769331932067871E+00    0.237222313880920410E+00    0.781131114959716744E+01   -0.829404964010202939E+01   -0.647430181544915229E+02   -0.564489685143894917E+02   -0.501515351937698384E+01    1
    0.448068618774414062E+01    0.311160266399383545E+01    0.150568366050720215E+01    0.132361829280853271E+01    0.766179790496826119E+01   -0.829404964010202939E+01   -0.647421612604878050E+02   -0.564481116203857809E+02   -0.502515351937698451E+01    1
   -0.485228717327117920E+01   -0.250383019447326660E+01   -0.210687339305877686E+01   -0.962269306182861328E-01    0.761957340240478498E+01   -0.829404964010202939E+01   -0.647387969561341095E+02   -0.564447473160320783E+02   -0.503515351937698608E+01    1
    0.307704806327819824E+01   -0.150660276412963867E+01    0.448148250579833984E+00    0.844490528106689453E+00    0.796415898799896205E+01   -0.829404964010202939E+01   -0.647380775159375474E+02   -0.564440278758355163E+02   -0.504515351937698409E+01    1
    0.404526114463806152E+01   -0.213065803050994873E+01    0.322022438049316406E+00    0.127396464347839355E+01    0.789211368560791016E+01   -0.829404964010202939E+01   -0.647374126806312802E+02   -0.564433630405292490E+02   -0.505515351937698298E+01    1
    0.390650272369384766E+01    0.275778830051422119E+01    0.229798555374145508E+00   -0.527428984642028809E+00    0.794672133922576940E+01   -0.829404964010202939E+01   -0.647340568528070435E+02   -0.564400072127050123E+02   -0.506515351937698455E+01    1
    0.372696936130523682E+01    0.104561686515808105E+01    0.245708823204040527E+00    0.109720289707183838E+01    0.760435576438903738E+01   -0.829404964010202939E+01   -0.647323878933665213E+02   -0.564383382532644902E+02   -0.507515351937697989E+01    1
   -0.265959918498992920E+01   -0.162035048007965088E+01   -0.296624898910522461E+00    0.364823937416076660E+00    0.791095724105834996E+01   -0.829404964010202939E+01   -0.647319173263983885E+02   -0.564378676862963573E+02   -0.508515351937698501E+01    1
   -0.461597383022308350E+01   -0.674095749855041504E+00   -0.194018602371215820E+01   -0.372112393379211426E+00    0.793543000221252459E+01   -0.829404964010202939E+01   -0.647278329518106119E+02   -0.564337833117085808E+02   -0.509515351937699013E+01    1
   -0.261463165283203125E+01    0.102192163467407227E+01    0.350231528282165527E+00   -0.108973860740661621E+01    0.774492654800415004E+01   -0.829404964010202939E+01   -0.647243268361896043E+02   -0.564302771960875731E+02   -0.510515351937699080E+01    1
   -0.313646316528320312E+01    0.513130426406860352E-01   -0.361803174018859863E+00   -0.294881463050842285E+00    0.773126778602600062E+01   -0.829404964010202939E+01   -0.647237246457135456E+02   -0.564296750056115215E+02   -0.511515351937698348E+01    1
   -0.350641846656799316E+01    0.389292836189270020E+00    0.775092840194702148E-01   -0.120752036571502686E+01    0.764956295490264893E+01   -0.829404964010202939E+01   -0.647157951126899889E+02   -0.564217454725879648E+02   -0.512515351937698238E+01    1
   -0.266297817230224609E+01   -0.765858292579650879E+00   -0.106088578701019287E+01   -0.541463494300842285E+00    0.793556637763977069E+01   -0.829404964010202939E+01   -0.647085054697025868E+02   -0.564144558296005627E+02   -0.513515351937698394E+01    1
   -0.494464993476867676E+01    0.213867008686065674E+01   -0.141114652156829834E+01   -0.393254756927490234E+00    0.795236976146698016E+01   -0.829404964010202939E+01   -0.646985809350386631E+02   -0.564045312949366391E+02   -0.514515351937697751E+01    1
    0.329020977020263672E+01   -0.153266966342926025E+01    0.104937553405761719E+01    0.291781425476074219E+00    0.792736291885375977E+01   -0.829404964010202939E+01   -0.646978975590927803E+02   -0.564038479189907491E+02   -0.515515351937698085E+01    1
   -0.354289889335632324E+01   -0.178765654563903809E+00   -0.142481684684753418E+01   -0.577086210250854492E+00    0.768047232627868581E+01   -0.829404964010202939E+01   -0.646955858811556226E+02   -0.564015362410535985E+02   -0.516515351937698330E+01    1
    0.447794318199157715E+01    0.694159865379333496E+00    0.954997539520263672E-01    0.137402296066284180E+01    0.796427156925201452E+01   -0.829404964010202939E+01   -0.646699120361833906E+02   -0.563758623960813594E+02   -0.517515351937698220E+01    1
    0.292470574378967285E+01    0.192501366138458252E+01    0.143576800823211670E+01   -0.664353370666503906E-01    0.787469270229339635E+01   -0.829404964010202939E+01   -0.646675921534091742E+02   -0.563735425133071502E+02   -0.518515351937698643E+01    1
    0.480984389781951904E+01   -0.830004811286926270E+00    0.101035118103027344E+01    0.229309201240539551E+00    0.789597170352935773E+01   -0.829404964010202939E+01   -0.646657077838435868E+02   -0.563716581437415627E+02   -0.519515351937698533E+01    1
    0.344026565551757812E+01   -0.116315782070159912E+01    0.135204374790191650E+01    0.259464979171752930E+00    0.787390530109405518E+01   -0.829404964010202939E+01   -0.646548073783943664E+02   -0.563607577382923353E+02   -0.520515351937697623E+01    1
   -0.400813698768615723E+01   -0.178915858268737793E+00   -0.111566305160522461E+01   -0.138077020645141602E+01    0.762237713336944545E+01   -0.829404964010202939E+01   -0.646416909439664806E+02   -0.563476413038644495E+02   -0.521515351937698224E+01    1
   -0.471289634704589844E+01   -0.291756868362426758E+01   -0.107530295848846436E+01   -0.971048474311828613E+00    0.760732820034027046E+01   -0.829404964010202939E+01   -0.646416128252934641E+02   -0.563475631851914400E+02   -0.522515351937697670E+01    1
   -0.463041663169860840E+01   -0.226293504238128662E+01   -0.241796791553497314E+01    0.252648591995239258E+00    0.793792953491210973E+01   -0.829404964010202939E+01   -0.646312898394856461E+02   -0.563372401993836149E+02   -0.523515351937698092E+01    1
