    0.118049845991878358E+00   -0.360726468042324375E-01    0.398700717189806944E-02    0.924494846463203568E-01   -0.134526107476290235E+01   -0.115220008971505194E+01   -0.806294054685849693E+00   -0.231073293105623634E+01   -0.385080669765329509E+00    0.757587453946595701E+01   -0.458786667718432781E+02   -0.534545413113092351E+02
    0.120493517590178414E+00   -0.335263252537993314E-01    0.495252398053561485E-02    0.100224288702011111E+00   -0.277444011425131976E+00    0.145238731209133221E+01   -0.166146547765833907E+01   -0.388396160911383959E+01    0.183474400422596795E+01    0.572294072859130942E+01   -0.477133911423694954E+02   -0.534363318709608066E+02
    0.113596879268969844E+00   -0.395261377046731074E-01    0.309462184882845076E-03    0.734000909924507200E-01   -0.312744052223479230E-01   -0.282210940748654993E+00   -0.718738601659651755E+00   -0.606726549909808455E+00    0.126796272373894903E+00    0.799548625404364088E+01   -0.449076969328775348E+02   -0.529031831869211757E+02
    0.111671311893298111E+00   -0.316347438173105108E-01    0.535680511051142994E-02    0.115927532315254225E+00   -0.939808486738229476E+00   -0.267448988909677610E+01   -0.419864495820434058E+01   -0.277482743863743053E+01    0.120355987511970874E+01   -0.283115932209820453E+00   -0.529561133545453160E+02   -0.526729974223354986E+02
    0.119644842091693307E+00   -0.418161909305504939E-01    0.325332496100908366E-02    0.869728870987892255E-01    0.249650359093038787E+00   -0.433213912270957680E+00   -0.138277996422289084E+01   -0.326460122334424341E+01    0.190202630406588491E+01    0.800152504009354359E+01   -0.444761126803327898E+02   -0.524776377204263298E+02
    0.108766491985997818E+00   -0.301122635244760947E-01    0.308005849090423446E-02    0.104948416888713841E+00    0.431776803089860550E+00    0.198616058676520879E+01   -0.101019387693099794E+01   -0.227834998346111206E+01    0.309723296704873974E+01    0.349841442030324457E+01   -0.489439053709467515E+02   -0.524423197912499930E+02
    0.122669050213827860E+00   -0.343564753479165749E-01    0.744639547759088152E-02    0.124293649435043341E+00   -0.888709289582720885E+00   -0.496768728461347508E+00   -0.134763233655462478E+01   -0.584587741374207326E+00   -0.595697657885238874E+00    0.632261832998019102E+01   -0.461129633282890268E+02   -0.524355816582692142E+02
    0.120868681651424795E+00   -0.336800909626370701E-01    0.510859534124544559E-02    0.114515433907508860E+00   -0.121290837340666258E+00    0.316566742981200244E-02   -0.812491526177154588E+00   -0.945340207921390174E+00    0.208732169814879853E+01    0.992248355054599074E+01   -0.423855477662443292E+02   -0.523080313167903199E+02
    0.122149358456743642E+00   -0.381641636289026739E-01    0.133003690074771658E-03    0.885602653026580922E-01   -0.362696827838817626E+00    0.151895003983895549E+01   -0.859369184596516567E+00   -0.174942397583777165E+01   -0.519563326453180485E+00    0.637921006750114561E+01   -0.456740608354380626E+02   -0.520532709029392109E+02
    0.116999422989111992E+00   -0.345985252863025214E-01    0.266272473687482027E-02    0.110288747191429143E+00   -0.282136982460770014E+00   -0.135221831043395468E+01   -0.295269472141740152E+01   -0.140295278769144716E+00   -0.468845227468363879E+00    0.604548656735174461E+01   -0.454151219369456243E+02   -0.514606085042973689E+02
    0.118493592336848821E+00   -0.407034918165402534E-01   -0.704628146015097694E-03    0.829364085793495298E-01   -0.610091977229103577E+00    0.675575483945749511E+00    0.282034112896099254E+00   -0.302012494155974309E+01    0.120027417349433585E+01    0.601353090868630957E+01   -0.453696897639994887E+02   -0.513832206726857947E+02
    0.124671377895056737E+00   -0.293268652743813793E-01    0.210008047090762652E-02    0.125923964083194728E+00   -0.549895885882278890E+00    0.323897995691595553E+00   -0.836205642175400277E+00   -0.202848190029840225E+01    0.913370499769144084E+00    0.889702776340388723E+01   -0.424450305521418869E+02   -0.513420583155457706E+02
    0.117351801328494390E+00   -0.447643567803021544E-01    0.291066849243374129E-02    0.855652282238006656E-01   -0.221886171226401530E+01    0.157585822855139668E+01   -0.330707308158934898E+00   -0.531189310746640331E+00    0.226695969062006952E+01    0.395836863467809952E+01   -0.473004083097583958E+02   -0.512587769444364980E+02
    0.115675354479440842E+00   -0.315136831298198847E-01   -0.269011137549925432E-03    0.107628272294998190E+00   -0.646693193619967133E+00   -0.141265090378624336E+01   -0.434781175218858840E+00   -0.189435455750981419E+00    0.209697426246407304E+01    0.701901972100097638E+01   -0.441008862389164875E+02   -0.511199059599174674E+02
    0.121954481262799022E+00   -0.327147451447837231E-01    0.443906371069227937E-02    0.191520777106285123E+00   -0.359729570412810062E+00    0.762239111634244737E-01   -0.829395710492235372E+00   -0.185292561930396005E+01    0.144034492713103668E+01    0.101919628725770028E+02   -0.408944901994813961E+02   -0.510864530720583971E+02
    0.113797677491648444E+00   -0.374262927796601905E-01    0.109680827620986868E-02    0.972297672629356402E-01   -0.784062779761143247E+00   -0.609550991817968679E+00   -0.138724538786050267E+01   -0.995837418196288127E+00    0.185253597045516494E+01    0.902565161606511879E+01   -0.419826012475882919E+02   -0.510082528636534107E+02
    0.118303915587256683E+00   -0.349407064766930550E-01    0.514368257214218097E-02    0.123396977007389080E+00    0.149549816189960438E+01    0.476995355014651123E+00   -0.216461730288187937E+01   -0.130602796349990058E+01    0.462839910939010446E+00    0.829750098265817826E+01   -0.427012123894266011E+02   -0.509987133720847794E+02
    0.117335662945107402E+00   -0.304702536366969132E-01    0.272231828980987580E-02    0.124595034599304211E+00    0.204084373573323319E+00    0.578706002482931581E+00   -0.140301532929129258E+01   -0.142203862645487789E+01    0.151318929331978347E+01    0.100756100591030968E+02   -0.409093314468733311E+02   -0.509849415059764297E+02
    0.116046279777298936E+00   -0.341311010383870614E-01    0.401391073987947614E-02    0.123241492748260517E+00   -0.441439002892138888E+00   -0.283653014936362469E+00   -0.253575059442368911E+01   -0.247922657667572821E+01    0.189748808026138271E+01    0.869680683104456875E+01   -0.421802741443195401E+02   -0.508770809753641089E+02
    0.114573065704794488E+00   -0.272492568397348298E-01    0.493893117613889224E-02    0.146937316477298741E+00   -0.134931565860483715E+01    0.220805949018199499E+01   -0.199225670833015989E+01   -0.309525109263063314E+01    0.948963348497500414E+00    0.348134481809821095E+01   -0.473834621014165194E+02   -0.508648069195147272E+02
    0.120525196498112622E+00   -0.322500751796008164E-01    0.510547306861300690E-02    0.196378330230712911E+00   -0.158206717173925426E-02    0.777189726051119578E+00   -0.118955322943179431E+01   -0.157474545445779768E+01    0.129529244034415592E+01    0.988519708823494092E+01   -0.409614917383292081E+02   -0.508466888265641472E+02
