1	4.24130079061556664044019271386787295341491699218750
2	12.93521636817580500178337388206273317337036132812500
3	32.90812936651654041497749858535826206207275390625000
4	81.59461869951552159818675136193633079528808593750000
5	202.10587066828844626797945238649845123291015625000000
6	501.00827378959905900046578608453273773193359375000000
7	1242.72236206213642617512959986925125122070312500000000
8	3083.78771126114224898628890514373779296875000000000000
9	7654.62602478689404961187392473220825195312500000000000
10	19004.60217465973619255237281322479248046875000000000000
11	47191.73352781533321831375360488891601562500000000000000
12	117200.45416322768141981214284896850585937500000000000000
13	291096.65298090054420754313468933105468750000000000000000
14	723071.15963637852109968662261962890625000000000000000000
15	1796198.11090122675523161888122558593750000000000000000000
16	4462227.98393773753196001052856445312500000000000000000000
17	11085866.62914282456040382385253906250000000000000000000000
18	27542590.06761952489614486694335937500000000000000000000000
19	68431272.63234087824821472167968750000000000000000000000000
20	170026693.77699071168899536132812500000000000000000000000000
