    0.115703444142111381E+00   -0.491235398559305911E-01    0.103617069740638904E-02    0.213946370601654057E+00    0.231110783219337437E-01    0.102008988857269278E+01   -0.290021324157714844E+01   -0.102204316684833429E+01    0.110945617571474031E+01   -0.229637534853395664E+01   -0.170974526250915915E+01    0.748253501868703319E+00    0.680094829625446806E+01   -0.157900564735626715E+06   -0.157907365683922981E+06   -0.460515351937698814E+01    1
    0.128557877556067596E+00   -0.419394976050748089E-01    0.370303098758110018E-02    0.223864215373992925E+00    0.199106120467185954E-01    0.128739125728607173E+01   -0.505127978324890137E+01    0.658877735994565228E+00    0.331658631486107025E+00   -0.220657319443375854E+01   -0.142897370303558091E+01    0.170166063489773500E+01    0.913308521812433405E+01   -0.416786809430822814E+04   -0.417700117952635264E+04   -0.461515351937698259E+01    1
    0.117505246415253908E+00   -0.441308657290912440E-01    0.126786488420807877E-02    0.244610238790512080E+00    0.209203985929489120E-01    0.825041437149047763E+00    0.677222728729248047E+00   -0.694773186054362668E+00   -0.157288772713059188E+01   -0.140756391974150552E+01   -0.894692072666884997E+00    0.158248410876922430E+00    0.935233848351782981E+01   -0.359616719076551180E+04   -0.360551952924902980E+04   -0.462515351937698149E+01    1
    0.119445554385878297E+00   -0.443959213503825542E-01    0.368564955882614079E-02    0.185735991239547732E+00    0.251625225543975831E-01    0.865572261810302668E+00   -0.306803369522094727E+01    0.707395927537390889E+00    0.346565001710814669E+00   -0.173178638674812624E+01   -0.371374010598970017E+01   -0.298089144504274151E+00    0.714521757988183293E+01   -0.898319077375101301E+03   -0.905464294954983188E+03   -0.463515351937698661E+01    1
    0.119947433577363996E+00   -0.458979305521973122E-01    0.359966605864495528E-02    0.231896035909652715E+00    0.199955576658248889E-01    0.750775575637817383E+00    0.907103061676025391E+00   -0.247625679052134728E+00    0.131082951241637602E+01   -0.567823463185277211E+00   -0.196310890384324921E+01    0.138832429138688007E+01    0.964126644821751633E+01   -0.806205542498546265E+03   -0.815846808946763758E+03   -0.464515351937698728E+01    1
    0.119974641719247502E+00   -0.349329392692505000E-01    0.211578605796250777E-02    0.250214494228363060E+00    0.191045192480087285E-01    0.127794466018676767E+01    0.172112989425659180E+01   -0.569407122201255333E+00    0.185131796592600040E+01   -0.259263842352765783E+00   -0.123350018222140534E+01    0.755755633132366933E+00    0.103455218533072557E+02   -0.524757758089063941E+03   -0.535103279942371159E+03   -0.465515351937698174E+01    1
    0.118668549249113256E+00   -0.344490647798673597E-01    0.198729922196508660E-02    0.241531954050064085E+00    0.226839569807052617E-01    0.128972284793853764E+01    0.916161775588989258E+00   -0.476819005453990030E+00   -0.776625960551200478E+00   -0.112197949205096825E+01   -0.130227553371355498E+01    0.711231265657943590E+00    0.126170981956316570E+02   -0.498903796854916834E+03   -0.511520895050548518E+03   -0.466515351937698153E+01    1
    0.122267891528400299E+00   -0.390914299718440536E-01   -0.920596994851664244E-03    0.209524064540863031E+00    0.202120988368988015E-01    0.689565277099609353E+00   -0.298376011848449707E+01    0.106672369385364618E+01    0.167368321187154834E+01    0.251073661605687670E+00   -0.328932434685270891E+01    0.973850938518126208E+00    0.600076655215803179E+01   -0.415373831034155273E+03   -0.421374597586313314E+03   -0.467515351937698398E+01    1
    0.113864550179078663E+00   -0.426137914383028435E-01    0.787186262390192522E-03    0.192924706935882567E+00    0.219769139289855940E-01    0.484706592559814409E+00   -0.401198887825012207E+01   -0.158864293588294458E+00    0.624886213798845347E+00   -0.827784331698921738E+00   -0.155612632111683524E+01    0.942182312857085202E+00    0.105749856904000268E+02   -0.405784628190353601E+03   -0.416359613880753614E+03   -0.468515351937698377E+01    1
    0.121567292615010161E+00   -0.379683461316668233E-01    0.551703633107517369E-02    0.248608195781707758E+00    0.212714726328849801E-01    0.828427100181579501E+00   -0.449441242218017578E+01    0.678107771844906893E+00   -0.478134806882053398E+00   -0.167101853306803383E+00   -0.118020113179568398E+01    0.569406157952698999E+00    0.114027552531044218E+02   -0.335928671869662935E+03   -0.347331427122767366E+03   -0.469515351937698444E+01    1
    0.125694645125259130E+00   -0.420525905619621373E-01    0.593278657308974125E-02    0.197701737642288211E+00    0.255831125378608686E-01    0.116886851787567148E+01    0.430726146697998047E+01    0.265673781190912450E+01   -0.664909466603376131E+00   -0.178896683853167793E+01   -0.104635159243002818E+01    0.159479928571158802E+01    0.657694916208602187E+01   -0.305475162012143358E+03   -0.312052111174229367E+03   -0.470515351937698423E+01    1
    0.123372005120730280E+00   -0.331399028059033360E-01    0.992112182495317758E-03    0.173201296806335447E+00    0.233163095712661736E-01    0.125315532684326181E+01   -0.311779975891113281E+01   -0.157000229786149248E+01   -0.781153751116789863E+00   -0.177152449165646408E+01   -0.107083539197105893E+01    0.904219364114169588E+00    0.104964339085064591E+02   -0.287434112410384728E+03   -0.297930546318891174E+03   -0.471515351937698135E+01    1
    0.113598826914662568E+00   -0.352887077097713761E-01    0.181530964994084266E-02    0.181059348106384271E+00    0.222533509135246256E-01    0.110265543460845961E+01   -0.133746600151062012E+01   -0.147993125147763749E+01    0.753265250260710673E+00    0.250486636673508123E-02   -0.335625084238699856E+00    0.138750769065950430E+01    0.961879589662114931E+01   -0.267536830678359195E+03   -0.277155626574980317E+03   -0.472515351937698025E+01    1
    0.119379694904500469E+00   -0.412651466405657349E-01    0.592908005949236219E-02    0.135770374774932867E+00    0.223427855372428895E-01    0.944110774993896396E+00   -0.512844157218933105E+01   -0.172500226853230743E+01   -0.725954350872370924E+00   -0.449189896357871099E-02   -0.188717602286828878E+01    0.198322001313158602E+01    0.918246208981862466E+01   -0.157734763630274358E+03   -0.166917225720092972E+03   -0.473515351937698448E+01    1
    0.129177953976730764E+00   -0.291157324083323663E-01    0.369208034884397143E-02    0.212264380216598519E+00    0.238912559747695916E-01    0.128790438175201416E+01   -0.307665109634399414E+01    0.103155712596048943E+01   -0.266656601742170041E+00    0.592410484906622736E+00   -0.314080461984076464E+00    0.444480520749266583E+00    0.726092700288455717E+01   -0.148742911092274397E+03   -0.156003838095158955E+03   -0.474515351937698782E+01    1
    0.124697925440573301E+00   -0.332643090159089813E-01    0.232284254329054697E-02    0.192296859025955197E+00    0.250547735095024079E-01    0.124620540142059322E+01   -0.106706500053405762E+01    0.799828211225985797E+00   -0.253364960514090798E+00   -0.115202992906574742E+01   -0.279999814847883499E+01   -0.442244977901964154E+00    0.955746815470089572E+01   -0.140850512118080474E+03   -0.150407980272781373E+03   -0.475515351937698494E+01    1
    0.114002162821458655E+00   -0.315652174465165733E-01   -0.888671309785395418E-03    0.228614957571029676E+00    0.251087896823883050E-01    0.725273203849792436E+00   -0.169511675834655762E+01    0.233598264720740190E+00    0.596149075464609268E+00   -0.464602089426761955E+00   -0.137372135242571858E+01    0.414172252986873213E+00    0.995024244798854163E+01   -0.139124816443762541E+03   -0.149075058891751070E+03   -0.476515351937698117E+01    1
    0.114980948878207159E+00   -0.431280994928153125E-01    0.774263741017219669E-03    0.150352071046829239E+00    0.242701677680015535E-01    0.578982162475585871E+00   -0.934618949890136719E+00    0.199874094463439178E+00    0.511787257797777784E+00   -0.137162356298290411E+01   -0.191270312717165325E+01    0.224731815704558358E+01    0.102015802226735488E+02   -0.133600687120679368E+03   -0.143802267343352923E+03   -0.477515351937698451E+01    1
    0.116985460772715613E+00   -0.420833304268237104E-01    0.350300981336540808E-02    0.223948905229568479E+00    0.252017065286636345E-01    0.605673146247863725E+00    0.253534483909606934E+01    0.191615880786343951E+01    0.313191165331545618E+00   -0.317003410629012938E+00   -0.689228664788288370E+00    0.188822528304740467E+01    0.950596583390084859E+01   -0.122928230959710234E+03   -0.132434196793611079E+03   -0.478515351937698341E+01    1
    0.113921475922195328E+00   -0.352115888575392152E-01    0.482734010228550239E-02    0.157794053792953498E+00    0.248804662823677060E-01    0.119902634620666504E+01   -0.202607488632202148E+01    0.118475315514729118E+01   -0.466142370413535845E+00   -0.177992639601711722E+01   -0.194320466049362039E+01    0.249508393355540647E+01    0.104758473091744744E+02   -0.114963384742868215E+03   -0.125439232052042684E+03   -0.479515351937697876E+01    1
    0.125366247536584624E+00   -0.418886093119434297E-01    0.135786646420480274E-02    0.733560669422149703E-01    0.208017969131469721E-01    0.107472441196441659E+01   -0.574354004859924316E+01    0.640159524749606135E+00   -0.313538599904177262E+00   -0.822617270495129338E+00   -0.455020755556461154E+00    0.221413194938691049E+01    0.994787635843483287E+01   -0.114718318857890466E+03   -0.124666195216325306E+03   -0.480515351937698032E+01    1
    0.124757430734396338E+00   -0.426565756732523657E-01    0.213385419526349387E-02    0.209910962820053115E+00    0.200119707584381114E-01    0.700316357612609797E+00    0.117415237426757812E+01   -0.606680380303714628E-01   -0.223951350447919140E+01   -0.257975033067054937E+01   -0.140778540343376335E+01    0.123724011349281704E+01    0.808748498624586531E+01   -0.116317033348032112E+03   -0.124404518334277981E+03   -0.481515351937698277E+01    1
    0.119649572431429221E+00   -0.371608318338908991E-01    0.456092015928258755E-02    0.229645924329757695E+00    0.213707209825515741E-01    0.662725520133972124E+00    0.574143719673156738E+01   -0.383930319242153928E-01   -0.669853229475165790E+00    0.260747035216582157E+00   -0.170607398799461407E+01    0.516823722704202959E+00    0.115503092808563430E+02   -0.964477000955140653E+02   -0.107998009376370405E+03   -0.482515351937698345E+01    1
    0.119048214301438152E+00   -0.323675471004955459E-01    0.594808257962578784E-02    0.225839051485061643E+00    0.193531735539436318E-01    0.100459086894989014E+01    0.492408657073974609E+01    0.392696984189342402E+00   -0.535143920239988247E-01   -0.154975350528388822E+01   -0.327800723203040434E+01    0.814354082092452192E-01    0.973193457334864576E+01   -0.938024369235852760E+02   -0.103534371496933915E+03   -0.483515351937698323E+01    1
    0.120352162969220758E+00   -0.365843146335544309E-01    0.112436689786124880E-02    0.165379480361938475E+00    0.238591812252998345E-01    0.938626337051391535E+00   -0.713299512863159180E+00    0.793447089323535693E+00   -0.164699669743527011E+01   -0.408982283637442157E+00   -0.966925229223534188E+00    0.708058973829111205E+00    0.108301119328628594E+02   -0.911769957620590787E+02   -0.102007107694921942E+03   -0.484515351937698480E+01    1
    0.127098741925186276E+00   -0.368960880626227269E-01    0.445289075881208710E-02    0.222749032974243172E+00    0.238933279514312730E-01    0.105000824928283687E+01    0.426122188568115234E+00   -0.474882147244670705E+00   -0.982781566473249768E+00   -0.427062651386904468E+00   -0.102601745592323823E+01    0.498207557781483956E+01    0.380062582394610970E+01   -0.980596112120400107E+02   -0.101860237035986117E+03   -0.485515351937698814E+01    1
    0.121214133779202940E+00   -0.444833537513923891E-01    0.248427074871751920E-02    0.991732313632965046E-01    0.227488157749176009E-01    0.736849260330200151E+00   -0.466270565986633301E+01   -0.821357565371272358E-01   -0.805145518303334029E+00   -0.195623621323989005E+01   -0.318572579668625622E+00    0.971737284470464369E+00    0.102933566406253423E+02   -0.816956544739033603E+02   -0.919890111145287079E+02   -0.486515351937698437E+01    1
    0.122860693632178511E+00   -0.271830807490369072E-01    0.415134413800802640E-02    0.154479038715362560E+00    0.210351137518882750E-01    0.122299814224243164E+01    0.560981011390686035E+01   -0.196514534609036673E+01    0.123745963924079661E+01   -0.741971087198862511E+00   -0.249516200823450163E+01    0.665531886583039745E+00    0.796260753200722071E+01   -0.822363891226958401E+02   -0.901989966547030662E+02   -0.487515351937698149E+01    1
    0.116980364900639303E+00   -0.404682529988244430E-01    0.783648614079181238E-04    0.725325386524200422E-01    0.259630895256996140E-01    0.115194327831268306E+01    0.807126760482788086E+00   -0.184001580843073498E+01   -0.716984003516927260E+00   -0.331121784180027134E+01   -0.184547013016640449E+01    0.119935989221062322E+01    0.729911582261108993E+01   -0.819897920865381167E+02   -0.892889079091492022E+02   -0.488515351937698572E+01    1
    0.115528679354040834E+00   -0.318257849568476733E-01    0.106187683633588272E-02    0.132961395263671872E+00    0.225768596529960612E-01    0.107462184429168706E+01   -0.305387663841247559E+01    0.319805377216653142E-02   -0.780602328676422985E+00   -0.889161523419943256E+00   -0.113867063425118431E+01    0.878161467954896802E+00    0.120202378946333894E+02   -0.738760110835673913E+02   -0.858962489782007879E+02   -0.489515351937698817E+01    1
    0.118031846929179410E+00   -0.426618988259869700E-01    0.178780124163227896E-02    0.250623121261596693E+00    0.256028205156326287E-01    0.292505788803100575E+00    0.543092751502990723E+01    0.336326392661021600E+00   -0.600226749171497431E+00    0.978731425594787874E+00   -0.110663666376126457E+01    0.164246274657557501E+01    0.952860920441514736E+01   -0.760686284824103041E+02   -0.855972376868254514E+02   -0.490515351937698973E+01    1
    0.126272389482329161E+00   -0.319950644758685773E-01    0.429051283379148010E-02    0.217994691610336300E+00    0.221782861948013298E-01    0.821570944786071733E+00   -0.442329597473144531E+01    0.243057801789063888E+00    0.191215667178994464E+00   -0.891927883325251747E+00   -0.136507457288530532E+01    0.666336770143518553E-01    0.108630633901844114E+02   -0.740712810872083907E+02   -0.849343444773927985E+02   -0.491515351937698775E+01    1
    0.122183512253121365E+00   -0.318702664538401056E-01    0.614785499352779943E-02    0.156350058317184459E+00    0.204777002930641161E-01    0.103200190067291264E+01   -0.537060356140136719E+01    0.312130476889933561E+00   -0.440197396445682843E+00   -0.158623945953763701E+01   -0.355530871207747623E+00    0.169399905303976106E+01    0.111647514551203741E+02   -0.733179946111943366E+02   -0.844827460663147178E+02   -0.492515351937698220E+01    1
    0.114807086036504871E+00   -0.373720275598438609E-01    0.926415136142919732E-03    0.138462624549865715E+00    0.204457402825355510E-01    0.726073861122131348E+00    0.515702104568481445E+01   -0.210425318620082180E+00    0.100733871676197850E+01   -0.779098050830952849E+00   -0.258468830689821516E+01    0.518038279764141629E+00    0.104325473456952995E+02   -0.730663485352485367E+02   -0.834988958809438344E+02   -0.493515351937698199E+01    1
    0.121884823515751209E+00   -0.387778050941813210E-01    0.355046650932503262E-02    0.244687183141708370E+00    0.192064687609672553E-01    0.495297527313232400E+00    0.509646320343017578E+01   -0.187630814936596835E+01    0.639859411083989471E+00    0.726492695719118675E-01   -0.162904494949430045E+01   -0.218689926632237075E+01    0.396315192410813122E+01   -0.755843556953378055E+02   -0.795475076194459376E+02   -0.494515351937698799E+01    1
    0.117219632659908826E+00   -0.329780877672016179E-01    0.185142960837306561E-02    0.907591695785522484E-01    0.244534588456153876E-01    0.113405780792236333E+01   -0.460697078704833984E+01   -0.139564977816348801E+01    0.916016584136514211E+00    0.922382193118667093E-01   -0.318260835182513802E+01    0.158287351515468822E+01    0.895419430635984881E+01   -0.656182098497089470E+02   -0.745724041560687994E+02   -0.495515351937699045E+01    1
    0.125726998825276881E+00   -0.261163093389279941E-01    0.452524559307479826E-02    0.103579754590988157E+00    0.199745583534240712E-01    0.129449696540832515E+01    0.553575325012207031E+01   -0.957404403868622467E-01    0.724962727673528207E+00   -0.941108405198747056E+00   -0.251591784276229191E+01    0.157761719009272405E+01    0.954640174629468952E+01   -0.589106897106147045E+02   -0.684570914569093958E+02   -0.496515351937698846E+01    1
    0.119850229507109732E+00   -0.356468697008659949E-01    0.287955967330236597E-02    0.122753817558288569E+00    0.227176835536956785E-01    0.128248324394226088E+01    0.142796015739440918E+01   -0.100741124478986421E+01    0.826033761705957659E+00   -0.143800081101858246E+01   -0.156980950119418594E+01    0.184484253374762397E+01    0.119229180060691284E+02   -0.555044877548020708E+02   -0.674274057608711956E+02   -0.497515351937698824E+01    1
    0.123048065022112810E+00   -0.359923292697638605E-01    0.585811179501130944E-02    0.196088727235794069E+00    0.197308290600776669E-01    0.899921631813049294E+00   -0.248011636734008789E+01    0.376548780843677378E-01   -0.507521599680558211E+00    0.405907385478485816E+00   -0.174075818690766937E+01   -0.800220434427953986E-01    0.996813181372841228E+01   -0.563613792492034023E+02   -0.663295110629318145E+02   -0.498515351937698359E+01    1
    0.127730911627734700E+00   -0.314580612571654858E-01    0.270755926453328591E-02    0.211776000022888183E+00    0.209486339688301076E-01    0.842210149765014626E+00    0.403731250762939453E+01    0.152650412086018150E+01   -0.204852480831618777E+01   -0.154256527322331527E+00   -0.256029635410527590E+01    0.168473100925098174E+01    0.705094202590066921E+01   -0.581037862546393882E+02   -0.651547282805400556E+02   -0.499515351937698426E+01    1
    0.111588902619269306E+00   -0.308233677517543644E-01    0.101486316438307092E-02    0.130911390066146854E+00    0.236911203861236569E-01    0.108650803565979004E+01   -0.154435014724731445E+01   -0.653130125643883730E+00    0.662284131218484617E+00   -0.199494535333883483E+01   -0.254754787978868080E+01    0.130676389076938926E+01    0.955137147480544968E+01   -0.543391554131987888E+02   -0.638905268880042385E+02   -0.500515351937698583E+01    1
    0.125689474872968832E+00   -0.386859957566409382E-01    0.245416049385208503E-02    0.224072419881820695E+00    0.197446081638336171E-01    0.488251042366027788E+00   -0.367456483840942383E+01    0.192906298643606533E+01    0.143701935949252402E+01   -0.776065534633971543E+00   -0.197001205298306559E+01    0.103708227351376103E+01    0.843850901345512838E+01   -0.533230910497522785E+02   -0.617616000632074105E+02   -0.501515351937698384E+01    1
    0.115307496176763238E+00   -0.342394475781910221E-01    0.281274839221882069E-02    0.103174799680709833E+00    0.247053195834159856E-01    0.108465294837951665E+01   -0.297227740287780762E+01    0.244656215749046169E+00    0.115119623793702885E+01   -0.781428272788389000E+00   -0.127326107511976261E+01    0.148263211211428847E+01    0.118647392088183494E+02   -0.496353617413841306E+02   -0.615001009502024800E+02   -0.502515351937698451E+01    1
