    0.734368161612323656E+00    0.249611848108764856E+00    0.191571439810924934E-01    0.108159070730420526E+01    0.823964644957519532E+00    0.100684504067955771E+01   -0.155114163417351847E+01    0.576467051712371004E-01   -0.184723704852217430E+01   -0.855805315062525551E+00    0.121458681216040554E+01    0.771582628224978606E+01    0.161813208889811788E+01   -0.959535316905020039E+02   -0.975716637794001258E+02
    0.784593509872852146E+00    0.246450280877849731E+00    0.249794890263023012E-01    0.109166436407662504E+01    0.870457399979939650E+00    0.603804011138524110E+00    0.786222344416955821E+00    0.595880202196212849E+00   -0.125616487027286872E+01   -0.181952405456854649E+01    0.167689207806574836E+01    0.769977597126520408E+01    0.247155965541551392E+01   -0.939039807212703010E+02   -0.963755403766858194E+02
    0.675387648815339636E+00    0.223197136844882793E+00    0.232462443859550658E-01    0.105403314248567126E+01    0.779816294960192891E+00    0.261488313278563922E+00    0.498674661499762806E+00    0.140760256070962042E+00   -0.184997962657348558E+01   -0.140971644724118050E+01    0.156864673644236086E+01    0.796090403551780401E+01    0.277192690895719362E+01   -0.929099791392247596E+02   -0.956819060481819577E+02
    0.651772697054872951E+00    0.233091814022094945E+00    0.254519803292415948E-01    0.104958938913928224E+01    0.734867333582912896E+00    0.170643169103538384E+00   -0.181666414388246267E+00   -0.236378713456133427E+00   -0.385048135805163616E+00   -0.179838476651752899E+01    0.173977409513213410E+01    0.797422428555484331E+01    0.279314662787561385E+01   -0.925773085287040942E+02   -0.953704551565797090E+02
    0.679209366340691734E+00    0.237679950388505146E+00    0.233003654438564793E-01    0.109126129573342423E+01    0.727497744338632457E+00   -0.409609879593960002E+00    0.418077180476075227E+00    0.556167583920342268E-01    0.861929303653143908E-01   -0.125336728191427937E+01    0.126486507204276699E+01    0.785915439792028891E+01    0.242716713477891632E+01   -0.928568149107465217E+02   -0.952839820455254340E+02
    0.779118096393897175E+00    0.252958758882948387E+00    0.208984050244146874E-01    0.105946771885825841E+01    0.741101949587306574E+00   -0.352691348025548912E+00   -0.402098392549987693E+00   -0.218979581025109837E+01   -0.168151739853442428E+01   -0.844911116024604780E+00    0.915837633709770893E+00    0.797052586557797049E+01    0.793979830365290296E+00   -0.943783152255331856E+02   -0.951722950558984735E+02
    0.723751872289366660E+00    0.248727224050124374E+00    0.243032206848298599E-01    0.107839037651620995E+01    0.832681274540530425E+00    0.703326864020880294E+00    0.527963050145672241E+00    0.979717947359404762E-01   -0.725549971697318830E+00   -0.368327221777803970E+01    0.133629994112538975E+01    0.765794412760430365E+01    0.395201083669958098E+00   -0.946378209548663563E+02   -0.950330220385363162E+02
    0.729388050728822401E+00    0.218548562771164800E+00    0.226283124897865805E-01    0.107211703598686547E+01    0.793060758180646252E+00    0.392000361728236157E+00    0.756286296849566497E+00    0.510930538163165693E+00   -0.224949306991788944E+01   -0.211901609109986566E+01    0.164406425343599971E+01    0.791310900118407012E+01    0.175948868159892902E+01   -0.928424451058823053E+02   -0.946019337874812294E+02
    0.714419724614103857E+00    0.237855220934156536E+00    0.252213170971753060E-01    0.108344738943788288E+01    0.772743397542851707E+00   -0.213067559464263923E+00   -0.210724464688723856E+01    0.826237991191197674E-02    0.304561565563972403E+00   -0.109469391579864350E+01    0.284415849617630556E+01    0.765563709602073761E+01   -0.126258115643566438E+01   -0.958468687726265074E+02   -0.945842876161908492E+02
    0.663161285842098214E+00    0.224657031562368048E+00    0.207914374171776703E-01    0.107893287444560060E+01    0.728932095584708173E+00    0.857054175776590377E+00    0.617633922075810915E+00   -0.278257252499542973E+00   -0.269293557526111726E+01   -0.130557941434176428E+01    0.267202011415861307E+01    0.760740947378500643E+01    0.825865173681171294E+00   -0.935609370989068481E+02   -0.943868022725880138E+02
