    0.143911314010620117E+01   -0.682043373584747314E+00   -0.795503854751586914E-01    0.603868484497069868E-01   -0.336037538714190065E+01   -0.638766766995407175E+06   -0.638763406620020047E+06   -0.460515351937698814E+01    1
    0.115471404790878296E+01   -0.115678310394287109E-01   -0.454975724220275879E+00   -0.670198440551758035E-01   -0.336037538714190065E+01   -0.285971789925264951E+06   -0.285968429549877823E+06   -0.461515351937698259E+01    1
   -0.841824531555175781E+00    0.171444654464721680E+00   -0.593786239624023438E-01    0.312352657318115234E+00   -0.336037538714190065E+01   -0.246537471958963404E+06   -0.246534111583576276E+06   -0.462515351937698149E+01    1
   -0.123158508539199829E+01    0.730895340442657471E+00    0.199043750762939453E-01   -0.170952033996581987E+00   -0.336037538714190065E+01   -0.163041938786214567E+06   -0.163038578410827438E+06   -0.463515351937698661E+01    1
   -0.124056100845336914E+01    0.776761651039123535E+00   -0.442476272583007812E+00    0.275716018676757768E+00   -0.336037538714190065E+01   -0.127533637468788904E+06   -0.127530277093401761E+06   -0.464515351937698728E+01    1
    0.137695294618606567E+01    0.435153007507324219E+00   -0.660226821899414062E+00   -0.347573089599609419E+00   -0.336037538714190065E+01   -0.443510436024623632E+05   -0.443476832270752202E+05   -0.465515351937698174E+01    1
    0.145759087800979614E+01   -0.586973726749420166E+00   -0.348741054534912109E+00    0.304931354522705034E+00   -0.336037538714190065E+01   -0.252357046846903686E+05   -0.252323443093032256E+05   -0.466515351937698153E+01    1
    0.109462112188339233E+01   -0.309680521488189697E+00   -0.433417677879333496E+00    0.279840087890625089E+00   -0.336037538714190065E+01   -0.134952952891989698E+05   -0.134919349138118287E+05   -0.467515351937698398E+01    1
   -0.120386070013046265E+01   -0.834783911705017090E-01    0.395551800727844238E+00    0.167877578735351585E+00   -0.336037538714190065E+01   -0.839481019548117547E+04   -0.839144982009403429E+04   -0.468515351937698377E+01    1
   -0.109731316566467285E+01   -0.495844423770904541E+00    0.424605846405029297E+00    0.550829315185547008E+00   -0.336037538714190065E+01   -0.720428237803112825E+04   -0.720092200264398616E+04   -0.469515351937698444E+01    1
   -0.117538207769393921E+01   -0.351107239723205566E+00    0.386660456657409668E+00    0.446251296997070446E+00   -0.336037538714190065E+01   -0.455155462171554518E+04   -0.454819424632840310E+04   -0.470515351937698423E+01    1
    0.130759781599044800E+01   -0.102045124769210815E+01    0.350198984146118164E+00    0.847497940063476340E-01   -0.336037538714190065E+01   -0.370013972341405633E+04   -0.369677934802691425E+04   -0.471515351937698135E+01    1
    0.148462271690368652E+01   -0.214715301990509033E+00   -0.792619705200195312E+00    0.411976814270019531E+00   -0.336037538714190065E+01   -0.367609034867924856E+04   -0.367272997329210648E+04   -0.472515351937698025E+01    1
    0.142844831943511963E+01   -0.785740256309509277E+00   -0.225488781929016113E+00    0.437711429595947221E+00   -0.336037538714190065E+01   -0.301017136319106430E+04   -0.300681098780392222E+04   -0.473515351937698448E+01    1
    0.139028853178024292E+01   -0.709831237792968750E+00    0.210267424583435059E+00   -0.948414802551269531E-01   -0.336037538714190065E+01   -0.151227333761882915E+04   -0.150891296223168729E+04   -0.474515351937698782E+01    1
   -0.121495056152343750E+01    0.645111680030822754E+00    0.891197919845581055E-01   -0.263509941101074285E+00   -0.336037538714190065E+01   -0.734896228976981433E+03   -0.731535853589839576E+03   -0.475515351937698494E+01    1
   -0.855214118957519531E+00    0.458959937095642090E-01   -0.700374841690063477E-01    0.390830898284912021E+00   -0.336037538714190065E+01   -0.565334882610414411E+03   -0.561974507223272553E+03   -0.476515351937698117E+01    1
   -0.104430663585662842E+01    0.695556342601776123E+00   -0.443187236785888672E+00    0.197789669036865234E+00   -0.336037538714190065E+01   -0.438869829256553714E+03   -0.435509453869411800E+03   -0.477515351937698451E+01    1
    0.148957282304763794E+01   -0.851904273033142090E+00   -0.172211766242980957E+00    0.481370639801025346E+00   -0.336037538714190065E+01   -0.391693207169518814E+03   -0.388332831782376900E+03   -0.478515351937698341E+01    1
   -0.983755588531494141E+00    0.673762679100036621E+00   -0.489283800125122070E-01   -0.252743911743164129E+00   -0.336037538714190065E+01   -0.288362643718562822E+03   -0.285002268331420908E+03   -0.479515351937697876E+01    1
   -0.137496095895767212E+01    0.865094840526580811E+00   -0.696432590484619141E-02   -0.358539485931396507E+00   -0.336037538714190065E+01   -0.188123564285434895E+03   -0.184763188898292981E+03   -0.480515351937698032E+01    1
    0.127806597948074341E+01    0.756277441978454590E-01   -0.239787340164184570E+00   -0.199853801727294944E+00   -0.336037538714190065E+01   -0.117751998506568228E+03   -0.114391623119426328E+03   -0.481515351937698277E+01    1
   -0.144742155075073242E+01    0.565679311752319336E+00   -0.329439997673034668E+00    0.309944534301757724E+00   -0.336037538714190065E+01   -0.872615504859006421E+02   -0.839011750987587419E+02   -0.482515351937698345E+01    1
    0.133671015501022339E+01    0.217856347560882568E+00   -0.835618972778320312E-01   -0.582900810241699263E+00   -0.336037538714190065E+01   -0.851156162281589701E+02   -0.817552408410170699E+02   -0.483515351937698323E+01    1
    0.746105790138244629E+00    0.261497497558593750E-02   -0.720845460891723633E-01   -0.147168827056884721E+00   -0.336037538714190065E+01   -0.730212843455391010E+02   -0.696609089583972008E+02   -0.484515351937698480E+01    1
   -0.134252715110778809E+01    0.193735063076019287E+00    0.568554162979125977E+00   -0.342954730987548861E+00   -0.336037538714190065E+01   -0.726355013494513884E+02   -0.692751259623094882E+02   -0.485515351937698814E+01    1
    0.973255097866058350E+00   -0.780558586120605469E-01   -0.273228883743286133E-01   -0.194390773773193359E+00   -0.336037538714190065E+01   -0.650003487287068253E+02   -0.616399733415649251E+02   -0.486515351937698437E+01    1
    0.111213076114654541E+01   -0.899671196937561035E+00    0.562045097351074219E+00   -0.682077407836914062E-01   -0.336037538714190065E+01   -0.632672611216143039E+02   -0.599068857344724037E+02   -0.487515351937698149E+01    1
    0.138348233699798584E+01   -0.750932693481445312E-01   -0.954270362854003906E-01    0.650057125091552779E+00   -0.336037538714190065E+01   -0.599174709272032757E+02   -0.565570955400613755E+02   -0.488515351937698572E+01    1
   -0.136676198244094849E+01   -0.897037982940673828E-02    0.181035280227661133E+00   -0.759712600708007835E+00   -0.336037538714190065E+01   -0.599143182196823574E+02   -0.565539428325404572E+02   -0.489515351937698817E+01    1
   -0.850552976131439209E+00   -0.487239360809326172E+00   -0.155658960342407227E+00   -0.223286151885986328E+00   -0.336037538714190065E+01   -0.599088886256095066E+02   -0.565485132384676064E+02   -0.490515351937698973E+01    1
    0.128735339641571045E+01   -0.829685926437377930E-01   -0.213973283767700195E+00    0.733616924285888761E+00   -0.336037538714190065E+01   -0.599033572883094507E+02   -0.565429819011675505E+02   -0.491515351937698775E+01    1
   -0.134734690189361572E+01    0.197184383869171143E+00    0.138525962829589844E+00   -0.744916629791259832E+00   -0.336037538714190065E+01   -0.598567880958517904E+02   -0.564964127087098902E+02   -0.492515351937698220E+01    1
   -0.103537094593048096E+01    0.172226607799530029E+00   -0.650386452674865723E+00   -0.165970420837402322E+00   -0.336037538714190065E+01   -0.598556627536461505E+02   -0.564952873665042503E+02   -0.493515351937698199E+01    1
   -0.139603722095489502E+01   -0.106329578161239624E+01   -0.397939443588256836E+00    0.940674781799316628E-01   -0.336037538714190065E+01   -0.598380182515425290E+02   -0.564776428644006288E+02   -0.494515351937698799E+01    1
   -0.147765809297561646E+01   -0.116044235229492188E+01   -0.350804328918457031E+00   -0.440224647521972878E-01   -0.336037538714190065E+01   -0.598281090175052697E+02   -0.564677336303633695E+02   -0.495515351937699045E+01    1
    0.721691071987152100E+00    0.487956941127777100E+00    0.154694318771362305E-01    0.136347770690917747E-01   -0.336037538714190065E+01   -0.598260438287639289E+02   -0.564656684416220287E+02   -0.496515351937698846E+01    1
   -0.143684685230255127E+01   -0.213453769683837891E-01    0.193263173103332520E+00   -0.480073642730712902E+00   -0.336037538714190065E+01   -0.598201474248108624E+02   -0.564597720376689622E+02   -0.497515351937698824E+01    1
