    0.185360848903656006E+01   -0.381555318832397461E+00   -0.681416988372802734E+00    0.168639707565307617E+01    0.579535386135603403E+00   -0.708014195845407257E-01   -0.320912043097109745E+01    0.119567183458570980E+01    0.159903400368989446E+01   -0.182433116660514045E+02   -0.531684986485476256E+06   -0.531666743173810188E+06   -0.460515351937698814E+01    1
    0.235563755035400391E+01   -0.339736461639404297E+00   -0.955310583114624023E+00    0.109400725364685059E+01    0.666295491779465010E+00   -0.178510396802607829E+01   -0.251565135284749886E+01   -0.257172280976078582E+01    0.236024827756750710E+01   -0.162431763981136896E+02   -0.357267302441856824E+06   -0.357251059265458724E+06   -0.461515351937698259E+01    1
    0.169564282894134521E+01    0.358389616012573242E-01   -0.868921637535095215E+00    0.198660206794738770E+01    0.117417917929401483E+01   -0.881044926802587169E-01   -0.207015842736041122E+01   -0.473726556934934706E+00    0.150975139783554391E+01   -0.140635155084876011E+02   -0.474765918738220425E+05   -0.474625283583135533E+05   -0.462515351937698149E+01    1
    0.268326973915100098E+01    0.502334117889404297E+00   -0.174053299427032471E+01   -0.474171781539916992E+01   -0.801586740172979262E+00   -0.667938082141290579E+00   -0.931226528372235185E+00   -0.487326785056438894E+00    0.156837845500263051E+01   -0.133683357957205011E+02   -0.172121233468559294E+05   -0.171987550110602097E+05   -0.463515351937698661E+01    1
   -0.122452282905578613E+01    0.848568677902221680E+00    0.911915302276611328E-02    0.659898519515991211E+00   -0.635508891522249542E+00   -0.594495840131230580E+00   -0.120475394847858275E+01   -0.294063307399369478E+01    0.206156539886592327E+01   -0.142582395965961979E+02   -0.113849871717562564E+05   -0.113707289321596600E+05   -0.464515351937698728E+01    1
   -0.238483965396881104E+01    0.222735393047332764E+01   -0.468979597091674805E+00   -0.180430769920349121E+01    0.191467424007214504E+00   -0.109742055555784646E+01   -0.236068359141768269E+01    0.472480924423734905E+00    0.127685482362608149E+01   -0.154187369411064470E+02   -0.521604000144591964E+03   -0.506185263203485476E+03   -0.465515351937698174E+01    1
   -0.213354063034057617E+01    0.148804342746734619E+01   -0.134655475616455078E+00   -0.584124898910522461E+01    0.102193838987545860E+01    0.661766592178310020E+00   -0.247281709249705273E+01   -0.975041720729450390E+00    0.772420425965947510E+00   -0.144700180548077331E+02   -0.376099923365791994E+03   -0.361629905310984270E+03   -0.466515351937698153E+01    1
   -0.168398880958557129E+01    0.180436849594116211E+00    0.415943741798400879E+00   -0.256123924255371094E+01    0.553318219715492887E-01   -0.931009125018817940E+00   -0.232482111460626584E+01   -0.705371101893206287E+00    0.145379331437084169E+01   -0.137308745293096628E+02   -0.218561673917406381E+03   -0.204830799388096722E+03   -0.467515351937698398E+01    1
    0.267991733551025391E+01   -0.250923514366149902E+00    0.262369501590728760E+01    0.500574302673339844E+01   -0.865147210254235688E-01   -0.189517726881945237E+01   -0.193124682471875508E+01   -0.200736236397347056E+01    0.848200806784689343E+00   -0.145390982863074942E+02   -0.152392528016801634E+03   -0.137853429730494128E+03   -0.468515351937698377E+01    1
    0.138821482658386230E+01   -0.738036274909973145E+00   -0.456494092941284180E-01    0.452785992622375488E+01    0.154807949587507210E+01   -0.957003148802186843E+00    0.153639595681625218E+00   -0.153316072182292373E+01   -0.441864008247421003E+00   -0.162185708276580236E+02   -0.141881993329097810E+03   -0.125663422501439797E+03   -0.469515351937698444E+01    1
    0.287016034126281738E+01    0.277553129196166992E+01    0.281028628349304199E+00   -0.569859194755554199E+01   -0.201521427476336612E+00   -0.101565881552119208E+01   -0.481745749469837170E+00   -0.427360840493520300E+00    0.214945908415643316E+01   -0.138798577646313070E+02   -0.109843276771903618E+03   -0.959634190072723072E+02   -0.470515351937698423E+01    1
