    0.227341461181640625E+01    0.244129621982574463E+01    0.442621350288391113E+00    0.275646615028381348E+01    0.189900026421696566E+01   -0.151575074134711940E+01    0.304645046333009706E-01   -0.972707953538929360E+00   -0.536506777576732707E+00   -0.175106652804236340E+02   -0.720019510212142251E+02   -0.544912857407905875E+02
    0.267372035980224609E+01   -0.224625277519226074E+01    0.168501663208007812E+01   -0.514622569084167480E+01    0.368264721115565408E+00    0.192421278759752568E+01   -0.487963646916113936E+00   -0.186876727810840748E+00    0.232343750942050065E+01   -0.162217366499652513E+02   -0.698709162993600046E+02   -0.536491796493947533E+02
   -0.136182618141174316E+01    0.563204884529113770E+00   -0.111307561397552490E+01   -0.305995416641235352E+01    0.933359101371706856E+00    0.281751898197626416E+00   -0.150227124282196178E+01   -0.123196369551692442E+01    0.102625340896679540E+01   -0.131159542589951421E+02   -0.667611705577533030E+02   -0.536452162987581573E+02
    0.187591016292572021E+01   -0.186315786838531494E+01    0.118368780612945557E+01   -0.287257575988769531E+01    0.238003279495160314E+00   -0.117998159407193270E+01   -0.153205864410779191E+01   -0.143699945787489014E+01    0.198414143393733888E+01   -0.133304120646075575E+02   -0.660387353990949464E+02   -0.527083233344873889E+02
    0.172678899765014648E+01   -0.552753567695617676E+00    0.268417596817016602E+00   -0.339843606948852539E+01   -0.618301485491201674E+00    0.400648590915579972E+00   -0.131591436529674843E+01   -0.489683079457563508E+00    0.289516042324180489E+01   -0.145745933777857104E+02   -0.666892027286325799E+02   -0.521146093508468624E+02
   -0.148498535156250000E+01    0.158964872360229492E+00   -0.122559428215026855E+00   -0.555252027511596680E+01    0.100867970275089647E+01    0.199629132271525123E+01   -0.142408373375587849E+01   -0.609027737471024011E-01   -0.185928626842837708E+01   -0.211534067110227006E+02   -0.720115423248036421E+02   -0.508581356137809379E+02
   -0.171949088573455811E+01   -0.352066755294799805E+00    0.352238774299621582E+00   -0.391218066215515137E+01   -0.886583114428276531E+00   -0.248751178611428203E+00   -0.984068106787389985E+00   -0.298972693970085857E+01    0.185187158017129172E+01   -0.143016017169389613E+02   -0.651467810655421857E+02   -0.508451793486032244E+02
   -0.875485291641983743E+00    0.292250557068123307E+00    0.155666023168579137E-01    0.899666728565049922E+00   -0.551798774741882880E+00   -0.219156899418862849E+01   -0.275787922564973087E+01   -0.445494289427870171E+00    0.186349411322794389E+01   -0.166156421479208376E+02   -0.674008576567522795E+02   -0.507852155088314419E+02
   -0.283813370431188972E+01   -0.830308575132319149E+00    0.245827627800055293E+00   -0.330358800563781285E+01   -0.466294762674124286E+00   -0.496295720423631737E+00   -0.206947311565386372E+01   -0.131567428951370857E+01    0.421104669688930011E+00   -0.134325176204395529E+02   -0.642133265872423493E+02   -0.507808089668027947E+02
   -0.265936084449406174E+01   -0.660167118601753700E+00    0.119035069999647192E+00   -0.571248763095613121E+01    0.382335371465387652E+00    0.372243025518628257E+00   -0.266809482850135282E+01   -0.957226265298913859E+00    0.237066069783509192E+01   -0.146016007925146862E+02   -0.653699915113527652E+02   -0.507683907188380843E+02
   -0.162002496323475698E+01    0.814268529977144606E+00   -0.486187355413462363E+00   -0.546336595298497318E+01   -0.535704134309753499E+00   -0.720767836572804299E+00   -0.139073725248067581E+01   -0.156803600150283273E+01    0.155525647531817435E+01   -0.128402422042312399E+02   -0.635991392523153749E+02   -0.507588970480841368E+02
