   -0.139543175697326660E+01   -0.668549001216888428E+00    0.975934267044067383E-01    0.187957763671875000E+00    0.484120130538940430E+01   -0.165260175177763813E+00   -0.819175068534149786E-01   -0.879474353257589936E-01   -0.178841980875290574E+01    0.712215458739820173E+00   -0.122447817935969425E+02   -0.680990621165685184E+02   -0.558542803229715688E+02
    0.132985067367553711E+01    0.561017096042633057E+00    0.291354954242706299E+00   -0.453807771205902100E+00    0.538716888427734375E+01   -0.242119359903654185E+00    0.843588619194406419E+00   -0.614786860652429601E+00   -0.465347939413049971E+00    0.282957195280346241E+01   -0.138066360034857496E+02   -0.690004942663610166E+02   -0.551938582628752741E+02
   -0.147843271493911743E+01   -0.854200601577758789E+00    0.870805978775024414E-02    0.262767076492309570E+00   -0.449619913101196289E+01   -0.184148182076000921E+01    0.267347966338320531E+00   -0.168713750231859172E+01   -0.133733364080740103E+01    0.829933231569839558E+00   -0.135326306874900020E+02   -0.676803581802285521E+02   -0.541477274927385537E+02
   -0.471515536308288574E+00   -0.803287625312805176E-01   -0.929270982742309570E-01    0.384348034858703613E-01   -0.177120709419250488E+01    0.102612864508387247E+01    0.535372669752405272E+00   -0.215752692864725537E+00    0.732522214605069166E-01    0.607054675241443187E+00   -0.139509793310286305E+02   -0.678623281200966915E+02   -0.539113487890680574E+02
   -0.949105739593505859E+00   -0.125757873058319092E+00   -0.146279096603393555E+00   -0.608484685420989990E+00   -0.285984778404235840E+01   -0.157390651533091841E+01   -0.847700301288796254E+00   -0.146247670377874761E+01   -0.192914912137325700E+01    0.326296847012486069E+01   -0.151352990551183382E+02   -0.687129822178605565E+02   -0.535776831627422183E+02
    0.106813859939575195E+01    0.190789461135864258E+00    0.541232943534851074E+00    0.117276906967163086E+00   -0.325913786888122559E+01    0.120452839483618845E+01   -0.432414658803276231E-02   -0.279039997166478315E+01   -0.214593632607034124E+01    0.479952227229887507E+00   -0.142167732142865972E+02   -0.672650261653810730E+02   -0.530482529510944829E+02
    0.979651272296905518E+00    0.309127986431121826E+00   -0.332057476043701172E-02    0.279890298843383789E-01   -0.118080353736877441E+01   -0.670736314895066243E+00    0.986094258192906636E+00    0.283693754444130031E+00   -0.256062779513626992E+01    0.929644838398644646E+00   -0.140865118576613586E+02   -0.658997973489739195E+02   -0.518132854913125556E+02
    0.111178225278854370E+01   -0.162609636783599854E+00    0.118022918701171875E+00    0.273574590682983398E-01   -0.573658990859985352E+01    0.720776963495382006E+00    0.768581098237746119E+00   -0.150974214924303829E+01   -0.214723372363437193E+01    0.126564695888987466E+01   -0.125471837269797355E+02   -0.643197755830890543E+02   -0.517725918561093152E+02
   -0.784429907798767090E+00    0.185968995094299316E+00   -0.266611576080322266E+00   -0.676978826522827148E-01   -0.355867409706115723E+01    0.276568734572833819E+01   -0.153091074605640642E+01   -0.426514747513237813E+00   -0.107548447301383021E+01    0.799396734374795637E+00   -0.166024040806333915E+02   -0.682447996109383723E+02   -0.516423955303049809E+02
    0.131852995475435275E+01   -0.129964316339646224E+00   -0.220701111905072800E-01    0.432849028346353748E-01   -0.527748641079876535E+01    0.672248380507198817E+00   -0.451619046963287418E+00   -0.139966320138341849E+01   -0.135042495113907535E+01    0.314550742403980843E+00   -0.122309460157343501E+02   -0.638443085381160387E+02   -0.516133625223816921E+02
   -0.138902699947357178E+01   -0.587481915950775146E+00   -0.151576280593872070E+00   -0.147494137287139893E+00   -0.156083178520202637E+01   -0.800059054537314296E+00   -0.149468514540899378E+01   -0.120571925190802154E+01   -0.168540690801023629E+01    0.267024855541080797E+01   -0.136907894916094062E+02   -0.643681600767499873E+02   -0.506773705851405794E+02
   -0.919856045747550533E+00   -0.267836775068480026E+00    0.123628199942362293E+00    0.993164349595918594E-01   -0.224953133889774115E+00    0.200831513119169358E+01   -0.756911821637231697E+00   -0.199129526836145465E+01   -0.135192063204726765E+01    0.145927286615801699E+01   -0.140643886011465646E+02   -0.647030957118155641E+02   -0.506387071106689959E+02
   -0.129269868135452271E+01   -0.131146609783172607E+00   -0.172784149646759033E+00    0.416727662086486816E-01   -0.349155235290527344E+01   -0.139098676842195346E+00   -0.377627846660283373E-02   -0.271610849479998251E+01   -0.165843317340772956E+01    0.974765406939468670E+00   -0.128657341618080530E+02   -0.634566251687015921E+02   -0.505908910068935427E+02
    0.807243599536988654E+00   -0.742469501343741012E-01   -0.146250014085933522E+00    0.668096223381082766E-01    0.822899281997750975E-01    0.837091753106733449E+00   -0.221888181537224172E+00   -0.663975785049615075E+00   -0.907564310178941014E+00    0.245994988163715789E+01   -0.127571623997400909E+02   -0.633301850267002138E+02   -0.505730226269601246E+02
    0.121839619206786987E+01   -0.259622407353613749E+00   -0.838606563176660380E-01    0.426782892314523377E-01    0.116145157059173343E+01    0.568671244203642345E+00    0.540039119863422457E+00   -0.776370859829284887E+00   -0.173533559101883839E+01    0.209176205850099217E+00   -0.125663394898245926E+02   -0.630739162804028410E+02   -0.505075767905782484E+02
   -0.132993645598000865E+01   -0.210779304534927991E+00   -0.117919261525115004E+00   -0.160444998630427271E+00   -0.424286778045752300E+01   -0.332443656535588161E+00   -0.466083371460399520E+00   -0.861047302197448294E+00   -0.750073740413199630E+00    0.597045494920394271E+00   -0.120316779208356373E+02   -0.625051235687980125E+02   -0.504734456479623717E+02
    0.136638270675017592E+01    0.368484730540234118E+00    0.351525588265664268E-01   -0.582709283914095932E+00    0.316405984287838749E+01   -0.793775074852192120E+00    0.931023849615257859E+00   -0.129594295229594514E+01   -0.182568157065475134E+01    0.161967317046105586E+01   -0.125800121737690898E+02   -0.629813499994572865E+02   -0.504013378256881950E+02
   -0.116513868437328472E+01    0.143132081346710072E+00   -0.569489504322287621E+00    0.327026885499354769E+00   -0.577066479660732234E+01    0.949707456321675636E+00   -0.159980342797211961E+01   -0.274897642487417215E+01   -0.129911552636599481E+01    0.354685153484979532E+00   -0.146932760372474238E+02   -0.649493459328367067E+02   -0.502560698955892846E+02
   -0.148326948122000313E+01   -0.282603330637324124E+00   -0.434562595572891119E+00    0.455449049199536216E+00   -0.589963267627514654E+01   -0.969159724674000245E+00    0.514411695318131024E+00   -0.100121872614977270E+01   -0.178430468985766311E+01    0.145278326913853584E+01   -0.122845080212413951E+02   -0.625272276460571277E+02   -0.502427196248157344E+02
