    0.535582582193894723E+02    0.332153551425916930E+03    0.178455872569444864E+03    0.211513273000717178E+00    0.247114086747169497E-01    0.117563161849975595E+01   -0.562031722068786621E+01    0.385218470429435911E+00    0.768530678527667988E+00   -0.156318259544946137E+01   -0.419028591992741895E+01    0.198799678860154949E+01   -0.921792581841206449E+01   -0.297854783818959277E+03   -0.288636858000547193E+03   -0.460515351937698814E+01    1
    0.526810868757941080E+02    0.334154791055652140E+03    0.177864637155268383E+03    0.164244393110275277E+00    0.218024919629096967E-01    0.122355818748474121E+01   -0.531463050842285156E+01   -0.403640376691782876E-01   -0.431509056348886533E+00   -0.149738981435689289E+01   -0.106819962837221283E+01    0.154715963739477069E+01   -0.442528909976044460E+01   -0.251455595971544142E+03   -0.247030306871783694E+03   -0.461515351937698259E+01    1
    0.524562644387408454E+02    0.332718165932268903E+03    0.180268593101767920E+03    0.128129440784454346E+00    0.218933460116386425E-01    0.125277874469757089E+01   -0.525819039344787598E+01    0.648553541658429822E+00   -0.665056970694876681E-01   -0.791788079467323547E+00   -0.407540128554728653E+00    0.823970447194142475E+00   -0.573531348822425358E+01   -0.213611955553356580E+03   -0.207876642065132330E+03   -0.462515351937698149E+01    1
    0.517836445430073127E+02    0.333338025075706128E+03    0.180632778875725990E+03    0.209808082580566407E+00    0.231460682749748230E-01    0.108220691680908199E+01   -0.578785657882690430E+01    0.563899255895421447E+00    0.217942357164702671E-01   -0.104064854663533857E+01   -0.157143987519589245E+01    0.628011610295971190E+00   -0.621184258457943361E+01   -0.206031270560686551E+03   -0.199819427976107107E+03   -0.463515351937698661E+01    1
    0.522358247100858080E+02    0.334365281592726433E+03    0.178829778696689800E+03    0.113530295848846441E+00    0.253297735452651974E-01    0.122706658840179439E+01   -0.517038488388061523E+01   -0.596049743618323191E+00   -0.181544243584653486E+01   -0.741449070061434901E+00   -0.622235916006275147E+00   -0.669307442425406185E+00   -0.797730984349127503E+01   -0.198920516041067714E+03   -0.190943206197576444E+03   -0.464515351937698728E+01    1
    0.523425472047740641E+02    0.334856514886127343E+03    0.179905711858991026E+03    0.152284410238265999E+00    0.196171870231628409E-01    0.123505656719207768E+01   -0.482654142379760742E+01    0.293294587694731490E+01   -0.624553400733702802E+00   -0.137890312406284443E+01   -0.670128247251113862E+00    0.159704794734466327E+01   -0.103013776279069571E+02   -0.198319843861435089E+03   -0.188018466233528130E+03   -0.465515351937698174E+01    1
    0.516385079814228902E+02    0.332978656943757187E+03    0.177642188059737009E+03    0.143415576696395874E+00    0.195849266052246090E-01    0.110236310958862305E+01   -0.567883586883544922E+01   -0.212305717010053741E+01   -0.143703192919701850E+00   -0.818094256743506554E+00   -0.964790363681231611E+00    0.852341695027689861E+00   -0.719200039049120932E+01   -0.166561563076763491E+03   -0.159369562686272275E+03   -0.466515351937698153E+01    1
    0.512683823189179293E+02    0.333294581067063291E+03    0.178495649469652335E+03    0.764039289951324446E-01    0.198306619524955749E-01    0.128125221729278560E+01   -0.519140195846557617E+01    0.121164855470055954E+01    0.146222510178404319E+00   -0.120381424317542929E+01   -0.758801051048294539E+00   -0.863738058495755245E+00   -0.788075236052620465E+01   -0.162271768044430075E+03   -0.154391015683903873E+03   -0.467515351937698398E+01    1
    0.529589826280432590E+02    0.333318506983268207E+03    0.180427989862575259E+03    0.236808691978454583E+00    0.202370372414588939E-01    0.110697529315948495E+01   -0.438379526138305664E+01   -0.290871436094789715E+01   -0.988195432404381791E+00   -0.135262845872489357E+01   -0.202921419928202340E+01    0.313252356002408305E+01   -0.114961917384145487E+02   -0.165755548768416787E+03   -0.154259357030002235E+03   -0.468515351937698377E+01    1
    0.530103890759739897E+02    0.332892725377723082E+03    0.178977250936369956E+03    0.165846873521804827E+00    0.254995563030242928E-01    0.126086757183074960E+01   -0.319188237190246582E+01   -0.941723236370535233E+00    0.527404813916518833E+00   -0.319407184844066938E+00   -0.108053947652592797E+01    0.161185718277806722E+01   -0.471632835482369472E+01   -0.140379816746167876E+03   -0.135663488391344174E+03   -0.469515351937698444E+01    1
