2.4	10.5	1.251296905
2.36	10.8	0.4
2.34	11.27544098	0.651289009
2.33	11.34234234	0.63963964
2.225	10.04245448	1.758847959
2.2	11.85461497	0.539230613
2.2	12.16969482	0.496938016
2	12.01109758	0.56164569
2	12.35846078	0.539089638
1.944	12.23426715	0.991067803
1.526	11.96894032	0.653606713
1.52	12.51860874	0.744349709
1.52	12.51860874	0.676681554
1.5	12.15590743	0.73622953
1.5	12.06929219	0.744349709
1.23	11.97103803	1.080457437
1	11.52050345	1.031939369
1	12.04493166	0.987955068
0.978	10.73338747	1.928068751
0.8	10.81186749	1.142839957
0.8	10.37202448	0.969910227
0.64	9.557330445	0.277514553
0.64	9.779222538	0.277664906
0.64	9.806484364	0.384917375
0.64	9.62	0.22
0.64	9.901124204	0.284437221
0.61	9.629178509	0.159271922
0.59	9.51671856	0.230134019
0.59	9.623459298	0.15576324
0.59	9.634696088	0.22788577
0.59	9.45	0.17
0.59	9.589597725	0.169307869
0.57	9.42	0.13
0.57	9.524133243	0.142760027
0.56	9.381345607	0.203059429
0.56	9.377758224	0.207742576
0.56	9.16	0.14
0.55	8.702063114	0.511886066
0.53	8.733616827	0.610742435
0.52	9.056450521	0.203059429
0.52	9.046500609	0.198371037
0.52	8.9	0.12
0.51	8.850994722	0.126414547
0.51	7.892613452	0.278948916
0.49	8.722741433	0.209941758
0.49	8.709196803	0.264120276
0.49	7.710029558	0.324470182
0.48	8.697712197	0.189522133
0.48	8.605861649	0.18123261
0.48	8.64	0.11
0.47	7.768225163	0.386863803
0.45	8.288128499	0.295384035
0.44	8.054690673	0.175984838
0.44	8.046432923	0.160083153
0.44	8.2	0.13
0.4	7.533504806	0.216596724
0.4	7.657641803	0.240714322
0.4	7.7	0.16
0.38	7.389362566	0.111601181
0.38	7.44349709	0.273014742
0.38	7.389362566	0.12180268
0.37	6.724908574	0.440200461
0.37	7.381823107	0.331843424
0.36	6.937863815	0.25720861
0.36	7.087044808	0.238961532
0.36	7.09	0.16
0.32	6.474332927	0.189624814
0.32	6.66	0.16
0.32	6.697819315	0.209941758
0.32	6.668932699	0.394289599
0.31	6.294842291	0.196290781
0.31	6.30445377	0.27344683
0.31	6.29	0.14
0.24	5.593932006	0.304754165
0.24	5.363673304	0.46728972
