    0.651916400194168077E+00    0.246971559762954707E+00    0.254009141921997042E-01    0.856408877372741628E+00    0.109964928627014169E+01   -0.567155027389526367E+01   -0.122889055296013794E+01    0.106141422646715056E+00   -0.347828011030060003E+00   -0.186885038429068118E+01    0.174801565947293458E-01    0.374548960891590177E+00   -0.208845456509715659E+05   -0.208849201999324578E+05   -0.460515351937698814E+01    1
    0.658948218822479226E+00    0.250997592687606852E+00    0.259756060838699336E-01    0.946751739978790363E+00    0.216779518127441395E+00    0.528481078147888184E+01   -0.519112533846737279E+00   -0.868210158103010499E-01   -0.140170384037219042E+00   -0.162159758360871820E+01    0.896677156489431804E+00    0.164877051344142389E+01   -0.977505884062248515E+04   -0.977670761113592744E+04   -0.461515351937698259E+01    1
    0.691284919977188106E+00    0.244946736574172985E+00    0.234858916401863085E-01    0.101378009200096142E+01    0.961983013153076105E+00    0.593594741821289062E+01    0.991163574839220018E+00   -0.355656292903176963E+00    0.596554886516287519E+00   -0.165469630871143636E+01    0.166794984641796895E+01    0.274207905886096670E+00   -0.738877958005554501E+04   -0.738905378796143123E+04   -0.462515351937698149E+01    1
    0.722519168853759775E+00    0.236993501901626602E+00    0.256213585734367359E-01    0.884198919534683214E+00    0.109592423439025888E+01   -0.593573999404907227E+01    0.146433023475083246E+00   -0.658214942596941910E+00   -0.480795092922789769E+00   -0.157958322367562687E+01    0.392331292883909777E+00    0.163138450547805691E+01   -0.723796280606083747E+04   -0.723959419056631577E+04   -0.463515351937698661E+01    1
    0.678744970560073879E+00    0.213205282688140874E+00    0.257050975561141960E-01    0.992113709449768066E+00    0.573715019226074152E+00    0.596222734451293945E+01    0.185792845255718930E+00   -0.689805815114823417E+00   -0.483002467975665928E+00   -0.297671320723225108E+01   -0.883817317102284283E+00   -0.155114728976445404E+01   -0.481325656313942272E+04   -0.481170541584965849E+04   -0.464515351937698728E+01    1
    0.768640246391296356E+00    0.243686602592468271E+00    0.204982865452766408E-01    0.103225623488426210E+01    0.917429089546203613E+00   -0.534833192825317383E+01   -0.483874854572832191E+00   -0.150670580561609257E+00   -0.100092234650787737E+01   -0.115187312572629708E+01    0.127356786276209299E+01    0.219866471418052800E+01   -0.304631520808303821E+04   -0.304851387279721894E+04   -0.465515351937698174E+01    1
    0.758208169937133802E+00    0.233000797748565663E+00    0.201844313144683846E-01    0.871860755681991506E+00    0.111973567008972164E+01   -0.531823182106018066E+01   -0.316563889540475429E+00   -0.499800819667370833E+00   -0.136233071279889351E+01   -0.147172457533315537E+00    0.133819243325206338E+00    0.800652634638591820E+00   -0.278664157784145664E+04   -0.278744223047609512E+04   -0.466515351937698153E+01    1
    0.697676280736923227E+00    0.212708500385284438E+00    0.228424085378646849E-01    0.944894384145736677E+00    0.125046975612640376E+01    0.509685015678405762E+01    0.156257780612463648E+01    0.597753763782975511E+00    0.362379081013843862E-01   -0.146958293675311324E+01    0.178515323486522015E+01    0.326880138633116601E-01   -0.214670687842610141E+04   -0.214673956643996462E+04   -0.467515351937698398E+01    1
    0.645891396999359158E+00    0.192023407459259027E+00    0.201130198836326594E-01    0.980140830278396602E+00    0.136727380752563465E+00    0.444228887557983398E+01    0.162939042506764054E+01    0.555026286923521184E+00   -0.244939906690319731E+01   -0.126588166106444078E+01    0.172140152453607720E+01   -0.256072706561926822E+00   -0.193502181950709519E+04   -0.193476574680053318E+04   -0.468515351937698377E+01    1
    0.674416239261627193E+00    0.240187774658203124E+00    0.225704476237297037E-01    0.100671299338340758E+01    0.107352657318115230E+01    0.326110053062438965E+01    0.695202319867576080E+00   -0.143309010636471612E+01   -0.126465306271938749E+00   -0.387385731904714703E+00    0.250653989434454161E+01   -0.435809009800252722E+00   -0.178385212782597910E+04   -0.178341631881617877E+04   -0.469515351937698444E+01    1
    0.722247461080551156E+00    0.251003003597259522E+00    0.259252611398696903E-01    0.989819921255111757E+00    0.124840717315673833E+01   -0.254244089126586914E+01    0.749150829711879851E+00   -0.649568430186491241E+00   -0.422392280360099681E+00   -0.280913577569094741E+01    0.318894415927502450E+01   -0.112573131947058380E+01   -0.171851162447158572E+04   -0.171738589315211516E+04   -0.470515351937698423E+01    1
    0.801013425588607775E+00    0.221441708564758311E+00    0.255561935305595386E-01    0.944026029109954812E+00    0.921770477294921786E+00   -0.546414184570312500E+01    0.133816800261115532E+01    0.158090929097966182E+01   -0.611607388144647990E+00   -0.222075705900692810E+01    0.934921211622850246E+00   -0.615386839375458683E+00   -0.156459275928615307E+04   -0.156397737244677751E+04   -0.471515351937698135E+01    1
    0.776142052412033046E+00    0.239616929769515985E+00    0.256033383011817911E-01    0.101834330677986151E+01    0.277783322334289540E+00    0.523058867454528809E+01   -0.132057178457102964E+01    0.136802314084548016E+01   -0.179460416024653546E+01   -0.918640653761713111E+00   -0.732318943352083584E+00   -0.206240018841912987E+01   -0.146475432830657792E+04   -0.146269192811815878E+04   -0.472515351937698025E+01    1
    0.736688882112503052E+00    0.192608235597610478E+00    0.238974677324295046E-01    0.109083625316619881E+01    0.881091237068176270E+00   -0.464672255516052246E+01   -0.226466727159504444E+00    0.858058964557812942E+00   -0.273547961504618575E+00   -0.217289771179707714E+01   -0.764281300860145674E-01    0.234164597721802981E+00   -0.126760319189892311E+04   -0.126783735649664482E+04   -0.473515351937698448E+01    1
    0.747163219451904226E+00    0.253926779508590716E+00    0.247446671128273010E-01    0.104674872756004333E+01    0.732589483261108398E+00    0.390486431121826172E+01    0.197080994083762562E+00    0.107042398384805892E+01   -0.209166903958589501E+01   -0.722557183063372577E+00    0.302264586423464099E-01    0.790220736714470906E-01   -0.125689313437550436E+04   -0.125697215644917583E+04   -0.474515351937698782E+01    1
    0.651503350734710662E+00    0.151284024238586418E+00    0.218616325855255124E-01    0.942607166767120419E+00    0.449342846870422363E+00    0.524831771850585938E+01   -0.586568619181662143E+00   -0.154468143701137706E+01   -0.875520573682706305E+00   -0.229934425407122944E+01    0.908626425658667580E+00    0.749977567152758207E+00   -0.107533452206384231E+04   -0.107608449963099497E+04   -0.475515351937698494E+01    1
    0.735331341028213514E+00    0.190852450132369983E+00    0.247228550314903261E-01    0.925391814708709681E+00    0.904184055328369096E+00   -0.427800035476684570E+01    0.101523207918603475E+01   -0.508465693052357892E+00   -0.181382358570431257E+01   -0.435571906133418452E+00   -0.370190404368031301E+00   -0.262090661837958150E+00   -0.106375148301528270E+04   -0.106348939235344483E+04   -0.476515351937698117E+01    1
    0.649870754480361912E+00    0.157495335102081302E+00    0.208689855337142946E-01    0.108925023794174214E+01    0.355711507797241255E+00   -0.366626858711242676E+01   -0.151537840669448087E+01   -0.121830587006002133E+01   -0.612176361721592510E-01   -0.358967502139648786E+00    0.809301016982999721E+00   -0.524939166634257770E+00   -0.102202570564660209E+04   -0.102150076647996787E+04   -0.477515351937698451E+01    1
    0.712145950794219940E+00    0.215828674077987670E+00    0.248717619776725740E-01    0.103521232724189760E+01    0.539576792716980003E+00   -0.231854081153869629E+01   -0.764774833991168634E+00    0.106841630236317542E+01   -0.939662638292020125E+00    0.446307906448737413E+00    0.182209109667724101E+01   -0.586117779884119949E+00   -0.935174040362511164E+03   -0.934587922582627016E+03   -0.478515351937698341E+01    1
    0.765436176061630169E+00    0.251389220952987713E+00    0.213799601793289162E-01    0.956331276893615745E+00    0.104707705974578857E+01    0.376495957374572754E+01    0.383854065705691028E-01   -0.454474470010381937E+00    0.277810656291423985E-01   -0.609665393543536993E+00    0.663748490943590008E+00    0.117720244848009647E+01   -0.868525974418002306E+03   -0.869703176866482409E+03   -0.479515351937697876E+01    1
    0.720217790603637664E+00    0.204246311902999883E+00    0.210353811979293800E-01    0.101511796593666093E+01    0.120677571296691899E+01    0.430428528785705566E+01   -0.200540370973385507E+00   -0.844093363178899381E+00    0.153182286968558623E+00   -0.239189122343645977E+01    0.516117753312528516E+00    0.536655363564341625E+00   -0.838633649980275095E+03   -0.839170305343839459E+03   -0.480515351937698032E+01    1
    0.660740277767181361E+00    0.146343596220016470E+00    0.244246297478675836E-01    0.915098600387573291E+00    0.687848520278930620E+00    0.483278059959411621E+01    0.782285254718999568E+00   -0.454183670441352605E+00   -0.644229623609362312E+00    0.683102773763266669E+00    0.218694044480230332E+01   -0.684280353232171290E+00   -0.751335738852454824E+03   -0.750651458499222599E+03   -0.481515351937698277E+01    1
    0.723014594316482517E+00    0.165075131893157950E+00    0.193299503922462444E-01    0.970220509767532380E+00    0.107103776931762706E+00   -0.468986749649047852E+01    0.427892097275162087E-01    0.138022550783603037E+01   -0.176545154137101923E+00   -0.246728550175134842E+01   -0.446244698244981697E+00   -0.134264118494971862E+01   -0.719169755594779531E+03   -0.717827114409829846E+03   -0.482515351937698345E+01    1
    0.751270604133605913E+00    0.209362442493438716E+00    0.199860823154449467E-01    0.911106659173965494E+00    0.935562968254089355E+00    0.442455482482910156E+01    0.399141108971434733E-01   -0.194975361174442696E+01   -0.340138778966547539E+00   -0.223133255769312200E+01    0.285797023481450196E+01   -0.112815444716555269E+01   -0.713902286548622783E+03   -0.712774132101457212E+03   -0.483515351937698323E+01    1
    0.768739852905273358E+00    0.215474156141281126E+00    0.197434724569320666E-01    0.935018044710159257E+00    0.120819842815399170E+01    0.455990266799926758E+01    0.122772213166513211E+01   -0.382066096946118650E+00   -0.199351922283426553E+01   -0.142951732903270567E+01    0.126779074720730045E+01    0.118696576868872605E+01   -0.672428567926941696E+03   -0.673615533695630461E+03   -0.484515351937698480E+01    1
    0.773403323888778638E+00    0.163886543512344357E+00    0.258093706369400024E-01    0.982398602962493928E+00    0.285387420654296897E+00   -0.557748484611511230E+01   -0.306577857301135737E+00   -0.725423018440096712E+00    0.409088676293549947E+00   -0.291454852309698254E+00    0.151893806040220647E+01    0.361576476570224736E+00   -0.619107007183317023E+03   -0.619468583659887258E+03   -0.485515351937698814E+01    1
    0.732380632162094036E+00    0.198788771152496352E+00    0.245349347591400126E-01    0.107979694128036519E+01    0.829346632957458474E+00   -0.270960831642150879E+01   -0.124727202337567178E+01   -0.126350947231230692E+00   -0.357136038584257909E+00   -0.221938270332771026E+01    0.168926419387048576E+01    0.859190542640460020E+00   -0.604220866175853189E+03   -0.605080056718493665E+03   -0.486515351937698437E+01    1
