    0.127053375720977768E+01   -0.431230158805847141E+00    0.183258146374831044E+01   -0.513654818311617447E+02   -0.531980632949100567E+02
    0.111679153919219964E+01   -0.427619786262512180E+00    0.183258146374831044E+01   -0.508990302864945434E+02   -0.527316117502428554E+02
    0.137037027359008778E+01   -0.489310665130615219E+00    0.183258146374831044E+01   -0.506942842546463694E+02   -0.525268657183946814E+02
    0.123811111927032469E+01   -0.471030254364013634E+00    0.183258146374831044E+01   -0.505021712827062856E+02   -0.523347527464545976E+02
    0.995027213096618679E+00   -0.421946854591369602E+00    0.183258146374831044E+01   -0.504302432428440710E+02   -0.522628247065923830E+02
    0.132791500568389886E+01   -0.495310206413269005E+00    0.183258146374831044E+01   -0.504015224699958537E+02   -0.522341039337441657E+02
    0.137862306118011468E+01   -0.514432377815246533E+00    0.183258146374831044E+01   -0.502409869319294629E+02   -0.520735683956777748E+02
    0.119928298473358153E+01   -0.482195563316345222E+00    0.183258146374831044E+01   -0.500431825871271840E+02   -0.518757640508754960E+02
    0.102900550842285154E+01   -0.448683018684387203E+00    0.183258146374831044E+01   -0.498693495052868698E+02   -0.517019309690351818E+02
    0.130616341114044188E+01   -0.518452448844909597E+00    0.183258146374831044E+01   -0.497749985669725064E+02   -0.516075800307208183E+02
    0.112730305671691888E+01   -0.476046128273010238E+00    0.183258146374831044E+01   -0.497537707698399316E+02   -0.515863522335882436E+02
    0.985409646034240749E+00   -0.442406578063964828E+00    0.183258146374831044E+01   -0.497366930861425871E+02   -0.515692745498908991E+02
    0.135169361114501951E+01   -0.701140303611755389E+00    0.183258146374831044E+01   -0.496574187428647207E+02   -0.514900002066130327E+02
    0.102766266345977786E+01   -0.461558790206909153E+00    0.183258146374831044E+01   -0.494409028263333141E+02   -0.512734842900816261E+02
    0.117221115112304686E+01   -0.506759543418884295E+00    0.183258146374831044E+01   -0.491798107827462871E+02   -0.510123922464945991E+02
    0.100570424079895027E+01   -0.463402481079101536E+00    0.183258146374831044E+01   -0.491765934548487564E+02   -0.510091749185970684E+02
    0.115972052097320555E+01   -0.504092187881469700E+00    0.183258146374831044E+01   -0.491614137743750845E+02   -0.509939952381233965E+02
    0.113538358688354490E+01   -0.498413128852844223E+00    0.183258146374831044E+01   -0.491394536651934075E+02   -0.509720351289417195E+02
    0.135689371109008783E+01   -0.557793993949890154E+00    0.183258146374831044E+01   -0.491093669684882812E+02   -0.509419484322365932E+02
    0.103250172615051272E+01   -0.474431104660034186E+00    0.183258146374831044E+01   -0.490310440570246229E+02   -0.508636255207729349E+02
    0.104680200099945075E+01   -0.478842563629150397E+00    0.183258146374831044E+01   -0.490090997263059478E+02   -0.508416811900542598E+02
    0.105605893611907953E+01   -0.482260150909423813E+00    0.183258146374831044E+01   -0.489751527625727974E+02   -0.508077342263211094E+02
