    0.110526440620422362E+01   -0.739187307357788037E+00    0.183258146374831044E+01   -0.879112507436340093E+06   -0.879114340017803828E+06   -0.460515351937698814E+01    1
    0.111500599861145022E+01   -0.739330286979675289E+00    0.183258146374831044E+01   -0.383153826057907834E+06   -0.383155658639371570E+06   -0.461515351937698259E+01    1
    0.105391374111175540E+01   -0.705515356063842747E+00    0.183258146374831044E+01   -0.368964296839241113E+06   -0.368966129420704849E+06   -0.462515351937698149E+01    1
    0.116457038402557367E+01   -0.766023535728454497E+00    0.183258146374831044E+01   -0.353839783351833175E+06   -0.353841615933296911E+06   -0.463515351937698661E+01    1
    0.120820472717285154E+01   -0.789336032867431592E+00    0.183258146374831044E+01   -0.323631441276177880E+06   -0.323633273857641616E+06   -0.464515351937698728E+01    1
    0.120182245254516595E+01   -0.780570883750915434E+00    0.183258146374831044E+01   -0.160233391730135190E+06   -0.160235224311598926E+06   -0.465515351937698174E+01    1
    0.125118198871612529E+01   -0.802825088500976558E+00    0.183258146374831044E+01   -0.923534170666235877E+05   -0.923552496480873378E+05   -0.466515351937698153E+01    1
    0.107922740459442146E+01   -0.709239668846130322E+00    0.183258146374831044E+01   -0.826481622832572757E+05   -0.826499948647210258E+05   -0.467515351937698398E+01    1
    0.110439260482788093E+01   -0.713417930603027273E+00    0.183258146374831044E+01   -0.253730593572116959E+05   -0.253748919386754460E+05   -0.468515351937698377E+01    1
    0.129309688091278074E+01   -0.809373993873596098E+00    0.183258146374831044E+01   -0.174781671287325407E+05   -0.174799997101962908E+05   -0.469515351937698444E+01    1
    0.113646054744720448E+01   -0.724916000366210955E+00    0.183258146374831044E+01   -0.138222405798843338E+05   -0.138240731613480821E+05   -0.470515351937698423E+01    1
    0.992247395515441832E+00   -0.647173757553100581E+00    0.183258146374831044E+01   -0.104468339392409107E+05   -0.104486665207046590E+05   -0.471515351937698135E+01    1
    0.129777057647705063E+01   -0.804179711341857839E+00    0.183258146374831044E+01   -0.871185722791427543E+04   -0.871368980937802371E+04   -0.472515351937698025E+01    1
    0.129976363658905014E+01   -0.804269070625305171E+00    0.183258146374831044E+01   -0.802527323563933442E+04   -0.802710581710308270E+04   -0.473515351937698448E+01    1
    0.115229940891265858E+01   -0.727369637489318821E+00    0.183258146374831044E+01   -0.760323801218849439E+04   -0.760507059365224268E+04   -0.474515351937698782E+01    1
    0.121462014198303225E+01   -0.757362074851989697E+00    0.183258146374831044E+01   -0.618357364057110135E+04   -0.618540622203484963E+04   -0.475515351937698494E+01    1
    0.119371426582336415E+01   -0.744313950538635249E+00    0.183258146374831044E+01   -0.501774389694133151E+04   -0.501957647840507980E+04   -0.476515351937698117E+01    1
    0.107103336334228505E+01   -0.679323763847351048E+00    0.183258146374831044E+01   -0.407009774127280343E+04   -0.407193032273655172E+04   -0.477515351937698451E+01    1
    0.121132209777832034E+01   -0.746048159599304150E+00    0.183258146374831044E+01   -0.268717553178784920E+04   -0.268900811325159748E+04   -0.478515351937698341E+01    1
    0.128720889568328856E+01   -0.783834214210510249E+00    0.183258146374831044E+01   -0.257152804772701984E+04   -0.257336062919076812E+04   -0.479515351937697876E+01    1
    0.117659812450408929E+01   -0.724996871948242139E+00    0.183258146374831044E+01   -0.200632658320162113E+04   -0.200815916466536942E+04   -0.480515351937698032E+01    1
    0.130347230911254863E+01   -0.786597342491149876E+00    0.183258146374831044E+01   -0.172786942555685187E+04   -0.172970200702060015E+04   -0.481515351937698277E+01    1
    0.995813231468200666E+00   -0.632517309188842747E+00    0.183258146374831044E+01   -0.170184410119293602E+04   -0.170367668265668431E+04   -0.482515351937698345E+01    1
    0.106343725204467776E+01   -0.662214775085449237E+00    0.183258146374831044E+01   -0.117839047393702140E+04   -0.118022305540076968E+04   -0.483515351937698323E+01    1
    0.122400427341461171E+01   -0.740935535430908176E+00    0.183258146374831044E+01   -0.111245101599810232E+04   -0.111428359746185060E+04   -0.484515351937698480E+01    1
    0.119412398815155019E+01   -0.722638101577758762E+00    0.183258146374831044E+01   -0.860949530044886615E+03   -0.862782111508634898E+03   -0.485515351937698814E+01    1
    0.132976553916931151E+01   -0.787914581298828076E+00    0.183258146374831044E+01   -0.797503317605716461E+03   -0.799335899069464745E+03   -0.486515351937698437E+01    1
    0.134579737663269028E+01   -0.792077131271362256E+00    0.183258146374831044E+01   -0.641007878371000857E+03   -0.642840459834749140E+03   -0.487515351937698149E+01    1
    0.120537472248077382E+01   -0.722863931655883807E+00    0.183258146374831044E+01   -0.600337741413625281E+03   -0.602170322877373565E+03   -0.488515351937698572E+01    1
    0.121519818782806399E+01   -0.715835208892822261E+00    0.183258146374831044E+01   -0.294563491952887318E+03   -0.296396073416635602E+03   -0.489515351937698817E+01    1
    0.105647535800933845E+01   -0.640472621917724583E+00    0.183258146374831044E+01   -0.289813034177595966E+03   -0.291645615641344250E+03   -0.490515351937698973E+01    1
    0.102134330749511726E+01   -0.621974129676818865E+00    0.183258146374831044E+01   -0.255490270229404501E+03   -0.257322851693152813E+03   -0.491515351937698775E+01    1
    0.116192460536956776E+01   -0.686905045509338397E+00    0.183258146374831044E+01   -0.238283036251049168E+03   -0.240115617714797480E+03   -0.492515351937698220E+01    1
