    0.617339611053466797E+00    0.684977591037750244E+00    0.573616802692413330E+00    0.410557746887207031E+00    0.863424658775329590E+00    0.451066255569458008E+00    0.857061982154846191E+00    0.210578262805938721E+00    0.400314033031463623E+00    0.268568694591522217E+00    0.100000000000000000E+01    0.000000000000000000E+00    0.395252516672997235-322
    0.661586940288543701E+00    0.593401014804840088E+00    0.978312313556671143E+00    0.965911448001861572E+00    0.398331344127655029E+00    0.678339660167694092E+00    0.297097504138946533E+00    0.298213362693786621E+00    0.312458276748657227E+00    0.130229711532592773E+00    0.402761005052830447-310    0.000000000000000000E+00    0.395252516672997235-322
    0.854879021644592285E+00    0.544446647167205811E+00    0.261490046977996826E+00    0.740372598171234131E+00    0.779410839080810547E+00    0.649428367614746094E-01    0.883400380611419678E+00    0.798401236534118652E+00    0.246098577976226807E+00    0.285196781158447266E+00    0.267585344697242917-296    0.107145955320985466-295    0.395252516672997235-322
    0.578275918960571289E+00    0.772886276245117188E+00    0.545508563518524170E+00    0.789635181427001953E+00    0.230142176151275635E+00    0.905322492122650146E+00    0.263082146644592285E+00    0.308367490768432617E+00    0.244753956794738770E-01    0.603022217750549316E+00    0.000000000000000000E+00    0.362861280255061566-311    0.395252516672997235-322
    0.684040069580078125E+00    0.631463050842285156E+00    0.453106343746185303E+00    0.921474099159240723E+00    0.416419208049774170E+00    0.114079475402832031E+00    0.992255151271820068E+00    0.644706726074218750E+00    0.223810374736785889E+00    0.547390639781951904E+00    0.476126271259490905-286    0.105463562533619265-309    0.395252516672997235-322
    0.836610734462738037E+00    0.311992824077606201E+00    0.668029367923736572E+00    0.913600385189056396E+00    0.548571646213531494E+00    0.791753709316253662E+00    0.415372252464294434E+00    0.763818740844726562E+00    0.325768291950225830E+00    0.882047235965728760E+00    0.000000000000000000E+00    0.000000000000000000E+00    0.395252516672997235-322
    0.360281467437744141E+00    0.258299469947814941E+00    0.411340117454528809E+00    0.944657683372497559E+00    0.222547292709350586E+00    0.783753395080566406E-02    0.150643587112426758E-01    0.456398785114288330E+00    0.769098877906799316E+00    0.634080588817596436E+00    0.000000000000000000E+00    0.138269429034015428-315    0.395252516672997235-322
    0.721187055110931396E+00    0.882101058959960938E-01    0.378903985023498535E+00    0.233825325965881348E+00    0.501931607723236084E+00    0.909068286418914795E+00    0.195899665355682373E+00    0.294237792491912842E+00    0.128475725650787354E+00    0.325196564197540283E+00    0.584142419401071510-301    0.732088632238008683-310    0.395252516672997235-322
    0.557887911796569824E+00    0.193072557449340820E+00    0.814113378524780273E+00    0.244362652301788330E+00    0.414619922637939453E+00    0.379242002964019775E+00    0.917432785034179688E+00    0.900384485721588135E+00    0.168049931526184082E-01    0.488532602787017822E+00    0.138265634609855367-315    0.107160830349143177-295    0.395252516672997235-322
    0.129417002201080322E+00    0.258290708065032959E+00    0.718116104602813721E+00    0.569572567939758301E+00    0.340219795703887939E+00    0.698720514774322510E+00    0.146833062171936035E-01    0.162078559398651123E+00    0.709995090961456299E+00    0.691492319107055664E+00   -0.166770271115232873E+02   -0.825670299281422615E+02    0.395252516672997235-322
